prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val
61551,0.61,3287,5,ST. JOHN'S,81501,814000,2005,100,3287,2005,2025,0,0,721,822,19,19,0,0,2.5,42274
62274,0.36,1040,3,ST. JOHN'S,7100,41500,1994,100,1040,1964,2025,0,0,0,0,30,60,0,0,1,145
64076,0.32,1551,4,ST. JOHN'S,125707,345000,1997,100,1551,1997,2025,0,0,202,455,27,27,0,0,2,439
65005,0.17,1660,4,ST. JOHN'S,239200,350000,2004,100,1503.5,2004,2025,0,0,300.5,380,20,20,0,0,2,952
65093,0.19,3136,4,ST. JOHN'S,239202,630000,2006,100,2636.5,2006,2025,0,0,547.5,504,18,18,0,0,3,2630
65107,0.17,1794,4,ST. JOHN'S,239202,379900,2005,100,1794,2005,2025,0,0,183,420,19,19,0,0,2,685
66297,1.04,2537,4,ST. JOHN'S,161600,491000,1994,100,2536.5,1993,2025,0,0,441.5,540,30,31,0,0,3,4751
67783,0.12,1312,3,GAINESVILLE,175800,270000,1994,100,1312,1994,2025,0,0,40,264,30,30,0,0,2,3012
67827,0.09,1343,3,GAINESVILLE,175800,295000,1998,100,1343,1995,2025,0,0,30,242,26,29,0,0,2,3827
69404,1.05,2409,3,ST. JOHN'S,106900,424600,2007,100,2069.5,1999,2025,0,0,529.5,552,17,25,0,0,2,4233
75080,0.27,1480,3,GAINESVILLE,32600,262000,1994,100,1300,1964,2025,0,0,236,0,30,60,0,0,2,1232
75573,0.21,1053,3,GAINESVILLE,95700,220000,1994,100,1053,1959,2025,0,0,70,0,30,65,0,0,1.5,3670
76119,0.21,975,3,GAINESVILLE,96100,200000,1994,100,975,1971,2025,0,0,64,0,30,53,0,0,3,200
76394,0.12,1477,3,GAINESVILLE,0,250000,2022,100,1477,2022,2025,0,0,248,270,2,2,0,0,2,349
76619,0.87,3424,3,GAINESVILLE,156300,550800,1994,100,2878,1959,2025,0,0,870,0,30,65,0,0,2,15313
76898,0.27,1640,3,GAINESVILLE,44600,302000,1996,100,1640,1958,2025,0,0,80,0,28,66,0,0,2,1200
77431,0.31,1051,3,GAINESVILLE,166400,160000,1995,100,771,1956,2025,0,0,344,0,29,68,0,0,1,4248
79051,0.25,2151,4,GAINESVILLE,41200,415000,2000,100,1989,1990,2025,0,0,232,462,24,34,0,0,2,24646
81672,0.22,884,3,GAINESVILLE,95300,145000,1994,100,884,1940,2025,0,0,96,0,30,84,0,0,1,1590
84251,0.16,572,3,GAINESVILLE,211701,83000,1994,100,572,1961,2025,0,0,48,0,30,63,0,0,1,951
91906,0.25,1594,3,GAINESVILLE,20200,124300,1994,100,1594,1957,2025,0,0,0,0,30,67,0,0,1,5719
98583,5.28,2490,3,ST. JOHN'S,76500,368000,2004,100,1662,1929,2025,0,828,672,0,20,95,0,0,2,6114
100322,0.8,1672,3,SUWANNEE,0,248400,1994,100,1672,1976,2025,0,0,32,0,30,48,0,1,2,31608
103621,5.07,2542,3,ST. JOHN'S,0,220000,2000,100,2541.5,2000,2025,0,0,212.5,0,24,24,0,0,2,2512
103890,4.4,1344,3,ST. JOHN'S,56800,259900,1994,100,1344,1970,2025,0,0,0,0,30,54,0,0,2,5996
104054,1.02,2132,3,ST. JOHN'S,113000,389500,2000,100,2132,1998,2025,0,0,24,200,24,26,0,0,2,8496
104497,10,2172,3,ST. JOHN'S,0,662000,1994,100,2172,1977,2025,0,0,80,0,30,47,0,0,3,19599
104587,1.02,1350,3,ST. JOHN'S,0,93300,1994,100,1350,1972,2025,0,0,0,0,30,52,0,0,1.5,1188
500353,0.1463,1724,4,SUWANNEE,2552.05,555000,2021,100,1152,2021,2025,0,572,306,462,3,3,0,0,2,478
2453,1.54,2280,3,HIGH SPRINGS,0,309400,2000,100,2280,1995,2023,0,0,40,0,22,27,0,0,2,3266
3242,0.45,1380,3,HIGH SPRINGS,64600,331400,2008,100,1380,1938,2023,0,0,96,0,14,84,0,0,1.5,2894
3846,0.23,1328,3,HIGH SPRINGS,171900,256300,2005,100,1328,1920,2023,0,0,192,0,17,102,0,0,2,508
5048,1.29,1335,3,HIGH SPRINGS,180500,235600,1983,100,1335,1965,2023,0,0,25,0,39,57,0,0,1,5270
9794,0.38,1720,3,NEWBERRY,165300,317600,2000,100,1720,2000,2023,0,0,395,440,22,22,0,0,2,1274
13776,0.29,1107,3,ALACHUA,2500,204800,2005,100,1107,1984,2023,0,0,0,0,17,38,0,0,2,416
16953,5,3338,4,SUWANNEE,232300,810300,2013,100,3338,2008,2023,0,0,1148,1008,9,14,0,0,2.5,4963
18425,0.19,1867,4,SUWANNEE,229800,347400,2002,100,1867,2002,2023,0,0,264,420,20,20,0,0,2,311
21086,0.28,2837,4,SUWANNEE,199301,729100,2010,100,1608,2002,2023,0,1044,1072.5,506,12,20,0,0,3,12126
28591,0.09,1494,3,ALACHUA,245200,302900,2013,100,1494,2013,2023,0,0,84,299,9,9,0,0,2,1065
28914,0.48,2663,3,ALACHUA,0,440400,2001,100,2663,2000,2023,0,0,201,484,21,22,0,0,2,2572
31415,0.15,1565,3,GAINESVILLE,245800,297300,2010,100,1565,2010,2023,0,0,121,400,12,12,0,0,2,958
35093,0.52,2253,4,ST. JOHN'S,167900,361900,1985,100,2253,1979,2023,0,0,392,469,37,43,0,0,2.5,2205
37182,0.16,1412,3,GAINESVILLE,31503,218700,2000,100,1412,2000,2023,0,0,28,474,22,22,0,0,2,1129
37188,0.17,2067,3,GAINESVILLE,31503,414500,2013,100,2067,2000,2023,0,0,153,462,9,22,0,0,2,733
39426,1,3407,5,GAINESVILLE,63400,946200,2019,100,2936,1981,2023,0,471,236,456,3,41,0,0,3,10118
42475,0.22,1170,3,ST. JOHN'S,16300,264400,1980,100,1170,1980,2023,0,0,0,286,42,42,0,0,2,2221
46287,0.06,2080,3,GAINESVILLE,231800,362500,2005,100,1040,2005,2023,0,1040,96,484,17,17,0,0,2,576
49441,0.25,1498,3,GAINESVILLE,72800,337500,2008,100,1080,1956,2023,0,0,486,0,14,66,0,0,1.5,8353
52437,0.84,2013,4,ST. JOHN'S,28400,369000,1990,100,2013,1974,2023,0,0,220,462,32,48,0,0,2,3365
52905,0.23,1631,3,ST. JOHN'S,84500,337400,2001,100,1630.5,2001,2023,0,0,38,479,21,21,0,0,2,539
58341,5.5,6375,5,ST. JOHN'S,0,1154800,1985,100,4986,1974,2023,0,1389,340,858,37,48,0,0,5,19499
59380,0.27,1576,3,ST. JOHN'S,77300,354400,2012,100,1576,1983,2023,0,0,84,460,10,39,0,0,2,2376
59706,0.1,1154,3,ST. JOHN'S,82200,285300,1991,100,1154,1991,2023,0,0,166,420,31,31,0,0,2,1556
64870,0.15,2176,4,ST. JOHN'S,246100,556000,2013,100,2176,2013,2023,0,0,229.5,550,9,9,0,0,3,1762
65679,0.45,2623,4,ST. JOHN'S,42300,524700,1995,100,2151,1988,2023,0,0,507,768,27,34,0,0,2,7597
76667,0.22,1272,3,GAINESVILLE,133400,280200,2000,100,1272,1981,2023,0,0,272,302,22,41,0,0,2,2576
76724,0.19,924,3,GAINESVILLE,67800,210900,2000,100,780,1950,2023,0,0,144,0,22,72,0,0,1,341
76875,0.51,1750,3,GAINESVILLE,44600,353000,2005,100,1568,1955,2023,0,0,512,0,17,67,0,0,2,2141
78750,0.31,2138,3,GAINESVILLE,61800,425300,2005,100,2138,1968,2023,0,0,0,641,17,54,0,0,2,1368
80267,0.13,906,3,GAINESVILLE,0,205200,1995,100,906,1935,2023,0,0,132,0,27,87,0,0,1,1358
86173,0.14,700,3,GAINESVILLE,68700,212700,1985,100,700,1935,2023,0,0,154,0,37,87,0,0,1,60
88611,0.12,832,3,GAINESVILLE,46700,254300,2008,100,832,1929,2023,0,0,0,0,14,93,0,0,1,0
89460,0.41,2653,3,GAINESVILLE,75800,706700,1999,100,2653,1946,2023,0,0,25,0,23,76,0,0,2.5,5457
93825,0.23,1008,3,ST. JOHN'S,40100,167800,1990,100,1008,1961,2023,0,0,30,0,32,61,0,0,1,1009
94214,2.59,1792,3,ST. JOHN'S,52400,391600,2012,100,1792,1980,2023,0,0,532,437,10,42,0,0,2,6684
96511,0.67,1929,3,WALDO,114500,191300,1995,100,1329,1954,2023,0,0,636,0,27,68,0,0,1.5,1705
98107,0.23,1136,3,ST. JOHN'S,71200,172800,1990,100,936,1963,2023,0,0,288,0,32,59,0,0,1,4181
103650,1.33,1724,3,HAWTHORNE,0,214700,1975,100,1360,1971,2023,0,0,468,0,47,51,0,0,2,1412
106285,0.19,2432,3,NEWBERRY,257300,400400,2017,100,2432,2017,2023,0,0,215,532,5,5,0,0,3,2122
106399,0.14,1454,3,HIGH SPRINGS,246701,321900,2017,100,1454,2017,2023,0,0,84,483,5,5,0,0,2,1354
106520,0.36,4190,5,SUWANNEE,255202,1073000,2017,100,4190,2017,2023,0,0,800,918,5,5,0,0,4,25105
107689,0.3466,3509,5,SUWANNEE,199317,999800,2018,100,3509,2018,2023,0,0,688,885,4,4,0,0,3,6771
4209,0.25,1290,3,HIGH SPRINGS,180500,273900,2013,100,1289.5,2000,2024,0,0,124.5,420,10,23,0,0,2,1174
4252,0.3,1201,3,HIGH SPRINGS,180500,198900,1994,100,925,1964,2024,0,0,332,0,29,59,0,0,3,1309
5276,1.34,2080,3,HIGH SPRINGS,228100,470300,2005,100,2080,2005,2024,0,0,207,484,18,18,0,0,2,24089
6163,4.37,2943,4,SUWANNEE,0,568300,2004,100,2023,1994,2024,0,920,436,0,19,29,0,0,3,36586
18010,2.54,3510,4,SUWANNEE,0,1089000,2020,100,3510,2012,2024,0,0,1812,1350,3,11,0,0,4.5,30795
18430,0.2,1455,4,SUWANNEE,235400,344400,2004,100,1455,2004,2024,0,0,337,420,19,19,0,0,2,834
19928,0.15,1729,3,SUWANNEE,152502,371300,2011,100,1476,1991,2024,0,0,324,420,12,32,0,0,2,400
23079,5.16,2073,4,NEWBERRY,199500,586500,2017,100,2072.5,1998,2024,0,0,178.5,484,6,25,0,0,2,40957
29280,0.17,1373,3,ALACHUA,202201,306300,2005,100,1373,2005,2024,0,0,114,308,18,18,0,0,2,730
31567,0.28,2352,4,GAINESVILLE,245802,465600,2010,100,2351.5,2010,2024,0,0,300.5,495,13,13,0,0,2.5,4964
33413,0.14,1224,3,GAINESVILLE,127400,241500,2000,100,1224,1987,2024,0,0,52,294,23,36,0,0,2,1448
34070,0.42,1718,3,SUWANNEE,47300,365000,1994,100,1327,1980,2024,0,391,128,466,29,43,0,0,2,7093
34607,1.03,1964,3,SUWANNEE,0,294000,2000,100,1964,1960,2024,0,0,282,0,23,63,0,0,2,7819
37500,0.37,1700,3,GAINESVILLE,144500,308700,2009,100,1700,1974,2024,0,0,40,546,14,49,0,0,2,2419
39273,0.26,1445,3,GAINESVILLE,143400,297400,1994,100,1445,1972,2024,0,0,36,433,29,51,0,0,2,3184
41434,0.29,1387,3,ST. JOHN'S,196500,299000,1994,100,1387,1983,2024,0,0,197,462,29,40,0,0,2,5548
49230,0.34,2521,3,GAINESVILLE,221700,317100,1994,100,1396,1956,2024,0,0,28,0,29,67,0,0,3,1934
52527,1,3178,4,ST. JOHN'S,188400,555500,2008,100,1897,1971,2024,0,1281,196,552,15,52,0,0,3,8527
77140,0.22,1575,3,GAINESVILLE,146100,270000,1994,100,1575,1948,2024,0,0,91,0,29,75,0,0,2,5455
79430,1.01,2433,3,GAINESVILLE,60000,485100,1994,100,2433,1973,2024,0,0,213,0,29,50,0,0,2,5414
80167,0.25,980,3,GAINESVILLE,46000,264600,2015,100,870,1951,2024,0,0,119,0,8,72,0,0,1,3066
82534,0.11,840,3,GAINESVILLE,175000,171600,2012,100,840,1953,2024,0,0,0,0,11,70,0,0,1,0
83392,0.38,1612,3,ST. JOHN'S,61000,207800,2010,100,1612,1955,2024,0,0,145,0,13,68,0,0,1,1093
85569,0.18,1362,3,GAINESVILLE,66200,326200,2015,100,1121,1929,2024,0,0,241,0,8,94,0,0,1,8060
85844,0.16,600,3,GAINESVILLE,96600,266200,2007,100,600,1951,2024,0,0,180,0,16,72,0,0,1,0
89480,0.26,1396,3,GAINESVILLE,8300,485000,1994,100,868,1921,2024,0,528,0,0,29,102,0,0,3,2780
89794,0.29,1793,3,GAINESVILLE,61500,388600,2007,100,1793,1944,2024,0,0,0,0,16,79,0,0,1.5,2500
92032,0.33,940,3,GAINESVILLE,146300,193500,2012,100,770,1949,2024,0,0,170,0,11,74,0,0,1,420
92597,0.16,1323,3,GAINESVILLE,115900,201900,1994,100,1323,1966,2024,0,0,100,0,29,57,0,0,1,271
92727,0.29,1478,3,ST. JOHN'S,48000,240000,2011,100,1478,1960,2024,0,0,108,0,12,63,0,0,1,544
94048,0.23,1424,3,ST. JOHN'S,168000,221800,2003,100,1244,1963,2024,0,0,180,0,20,60,0,0,2,1522
96383,0.26,1014,3,WALDO,0,169100,2012,100,1014,1930,2024,0,0,176,0,11,93,0,0,1,2384
100081,1.19,3272,3,SUWANNEE,14200,475000,2013,100,2888,2013,2024,0,384,218,784,10,10,0,0,3.5,150
102070,7.19,2016,4,ST. JOHN'S,0,475300,2009,100,1152,2009,2024,0,864,876,900,14,14,0,0,2.5,12015
102796,0.53,1497,3,HAWTHORNE,193400,224400,2008,100,1497,2001,2024,0,0,195,260,15,22,0,0,2,2183
106453,0.13,1989,3,SUWANNEE,242101,458600,2016,100,1989,2016,2024,0,0,237,432,7,7,0,0,3,11028
67800,0.12,1354,3,GAINESVILLE,175800,276500,1995,100,1354,1995,2024,2,0,30,231,28,28,0,0,2,2670
85820,0.16,1220,3,GAINESVILLE,96500,264800,2007,100,1220,1964,2024,2,0,24,0,16,59,0,0,1,8501
20017,1.15,2615,4,SUWANNEE,156800,569500,1994,100,2615,1970,2025,0,0,342,396,30,54,0,0,3,15982
21214,0.32,4571,5,SUWANNEE,199305,1275000,2005,100,2411,2005,2025,0,2160,371.5,875,19,19,0,0,6,51762
24116,1.01,1196,3,SUWANNEE,204100,240000,1995,100,1196,1974,2025,0,0,230,0,29,50,0,0,1,7901
3826,0.17,1580,3,HIGH SPRINGS,171900,178500,1994,100,1580,1940,2024,0,0,0,0,29,83,0,0,2,1155
5165,5,1284,4,HIGH SPRINGS,227500,387100,2014,100,1284,2005,2024,0,0,148,483,9,18,0,0,2.5,2304
5488,5.01,3363,4,HIGH SPRINGS,145600,710500,2006,100,3363,2006,2024,0,0,390,1662,17,17,0,0,3.5,21518
7691,0.19,1802,3,NEWBERRY,241900,340700,2005,100,1802,2005,2024,0,0,100,441,18,18,0,0,2,809
8506,0.36,1628,3,NEWBERRY,34700,217800,2000,100,1250,1976,2024,0,0,378,0,23,47,0,0,2.5,3696
12710,0.2,2150,3,ALACHUA,238900,419900,2013,100,2150,2013,2024,0,0,360,484,10,10,0,0,3,445
20490,0.17,2669,4,SUWANNEE,235202,564100,2015,100,2299,2015,2024,0,370,251,566,8,8,0,0,3,6868
21222,0.2,1859,4,SUWANNEE,199306,490000,2005,100,1859,2005,2024,0,0,168,440,18,18,0,0,2,3857
22384,5,2795,4,SUWANNEE,0,733900,2017,100,2083,2017,2024,0,711.5,401,540.5,6,6,0,0,3,35381
28455,0.18,1609,4,ALACHUA,201300,343000,2004,100,1608.5,2004,2024,0,0,385.5,462,19,19,0,0,2,1195
29640,0.36,2542,3,ALACHUA,50500,387100,1994,100,2542,1979,2024,0,0,88,534,29,44,0,0,3,3958
30500,0.1,1372,3,GAINESVILLE,200900,230300,1994,100,1032,1986,2024,0,0,472,0,29,37,0,0,2,247
30812,0.46,2915,4,GAINESVILLE,18300,571300,2001,100,2914.5,2000,2024,0,0,50,441,22,23,0,0,2,27560
30910,0.06,1380,3,GAINESVILLE,18600,278200,2004,100,1379.5,2000,2024,0,0,204.5,412,19,23,0,0,2,208
30942,0.06,1207,3,GAINESVILLE,230100,240100,2001,100,1206.5,2001,2024,0,0,133.5,434,22,22,0,0,2,224
31100,0.06,1207,3,GAINESVILLE,18502,239700,2005,100,1206.5,1998,2024,0,0,133.5,434,18,25,0,0,2,231
31217,0.26,2321,4,GAINESVILLE,184700,450000,2006,100,2321,1997,2024,0,0,277,441,17,26,0,0,2.5,1312
31245,0.39,2014,4,GAINESVILLE,184800,486100,2015,100,2014,1999,2024,0,0,314,420,8,24,0,0,2,19108
31356,0.13,1720,3,GAINESVILLE,245800,357000,2013,100,830,2013,2024,0,890,200,420,10,10,0,0,2.5,1050
31378,0.13,1645,3,GAINESVILLE,245800,276900,2007,100,1645,2007,2024,0,0,43,400,16,16,0,0,2,898
32520,0.24,1176,3,GAINESVILLE,142300,240100,1999,100,1176,1976,2024,0,0,0,336,24,47,0,0,2,440
32621,0.25,1118,3,GAINESVILLE,142400,257600,2011,100,1118,1976,2024,0,0,76,0,12,47,0,0,2,507
32700,0.25,1257,3,GAINESVILLE,142500,269700,2003,100,1257,1980,2024,0,0,76,0,20,43,0,0,2,3095
33060,0.19,1480,4,GAINESVILLE,189704,312000,2000,100,1480,1995,2024,0,0,354,400,23,28,0,0,2,3465
33880,0.21,1525,3,GAINESVILLE,74401,308900,2002,100,1525,1994,2024,0,0,25,483,21,29,0,0,2,2947
33881,0.21,1615,3,GAINESVILLE,74401,339900,2003,100,1615,1995,2024,0,0,259,462,20,28,0,0,2,3591
34099,0.42,2079,3,SUWANNEE,47300,260000,1994,100,1719,1978,2024,0,0,380,0,29,45,0,0,2,3064
34626,1.41,3776,5,SUWANNEE,220700,861300,1998,100,3776,1998,2024,0,0,504,883,25,25,0,0,4,33066
35483,0.19,2596,4,ST. JOHN'S,247600,633600,2015,100,2596,2015,2024,0,0,311,576,8,8,0,0,3,15484
35920,0.24,2935,4,ST. JOHN'S,234200,573300,2005,100,2494,2005,2024,0,441,235,625,18,18,0,0,3,55415
37434,0.37,1495,3,GAINESVILLE,144400,331500,2009,100,1495,1972,2024,0,0,90,483,14,51,0,0,2,3334
38704,0.25,1656,3,GAINESVILLE,143200,281800,1994,100,1656,1970,2024,0,0,95,0,29,53,0,0,2,4271
38943,0.23,1512,3,GAINESVILLE,253800,202000,1994,100,1512,1976,2024,0,0,28,0,29,47,0,0,2,463
39715,0.1,1536,3,GAINESVILLE,237600,306000,2007,100,1536,2005,2024,0,0,80,400,16,18,0,0,2,950
39984,0.27,2149,3,GAINESVILLE,164900,410000,2000,100,2149,1967,2024,0,0,0,480,23,56,0,0,2,9566
40549,0.42,2715,3,GAINESVILLE,206300,450500,2009,100,1875,1973,2024,0,780,228,600,14,50,0,0,3,8239
41437,0.29,1026,3,ST. JOHN'S,196500,223500,1994,100,1026,1983,2024,0,0,40,312,29,40,0,0,2,625
43254,0.32,1300,3,ST. JOHN'S,233201,325500,2007,100,1300,1984,2024,0,0,108,200,16,39,0,0,2,12462
43435,0.14,1779,3,ST. JOHN'S,98304,394900,2013,100,1779,2001,2024,0,0,53,420,10,22,0,0,2,3871
46409,0.36,2651,3,GAINESVILLE,186400,514500,2017,100,2651,1968,2024,0,0,156,0,6,55,0,0,2,6594
47341,0.32,1623,3,GAINESVILLE,115300,335800,2003,100,1623,1959,2024,0,0,108,0,20,64,0,0,2,5852
49310,0.24,1660,3,GAINESVILLE,221800,293000,1994,100,1660,1957,2024,0,0,318,0,29,66,0,0,2,432
49319,0.24,3104,3,GAINESVILLE,221800,489000,2001,100,2203,1957,2024,0,0,957,0,22,66,0,0,3.5,26142
52425,0.47,1752,3,ST. JOHN'S,28400,328500,1994,100,1752,1976,2024,0,0,28,560,29,47,0,0,2,10464
53823,0.12,1124,3,ST. JOHN'S,229301,303800,2011,100,1124,2001,2024,0,0,60,400,12,22,0,0,2,378
55691,0.39,1914,3,ST. JOHN'S,189100,396000,2013,100,1914,1986,2024,0,0,0,552,10,37,0,0,2,7784
