Unnamed: 0,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
351,6083,5.0,1879,3,SUWANNEE,0,240000,1995,100,1879.0,1971,2025,0,-82.59738111,29.75765989,01654-000-000,0.0,260.0,330,29,53,0,0,2.0,2530,223100.4,1
352,5871,10.0,1600,3,SUWANNEE,0,350000,1995,100,1280.0,1980,2025,0,-82.61929544,29.78096688,01629-013-000,0.0,640.0,0,29,44,0,0,1.0,30667,223100.4,1
354,4289,0.25,1129,3,HIGH SPRINGS,180500,60000,1995,100,1129.0,1966,2025,0,-82.59894167,29.81523312,01408-105-000,0.0,15.0,0,29,58,0,0,1.0,6642,223100.02,1
355,4193,0.36,1500,3,HIGH SPRINGS,180500,279000,2002,100,1500.0,2002,2025,0,-82.59461668,29.81752842,01408-015-000,0.0,98.0,462,22,22,0,0,2.0,497,223100.02,1
356,4029,0.23,1120,3,HIGH SPRINGS,0,60000,1995,100,1120.0,1961,2025,0,-82.5941577,29.82271578,01379-003-000,0.0,0.0,0,29,63,0,0,2.0,6816,223100.08,1
357,3918,0.32,1327,3,HIGH SPRINGS,45800,275000,1995,100,1327.0,1967,2025,0,-82.60198723,29.81914305,01291-000-000,0.0,0.0,0,29,57,0,0,1.5,3248,223100.08,2
358,3555,1.46,1298,3,HIGH SPRINGS,94500,165000,1995,100,1151.0,1929,2025,0,-82.60537551,29.83562398,00991-000-000,0.0,147.0,0,29,95,0,0,1.5,600,223100.09,1
360,3244,0.46,1213,3,HIGH SPRINGS,64600,165000,1995,100,1213.0,1935,2025,0,-82.59976207,29.8297519,00710-000-000,0.0,0.0,0,29,89,0,0,1.0,2740,223100.07,1
361,3002,0.69,1538,3,HIGH SPRINGS,64600,210000,1995,100,1378.0,1974,2025,0,-82.59435616,29.83219752,00522-000-000,0.0,260.0,362,29,50,0,0,2.5,1023,223100.06,1
362,1887,1.19,3169,3,HIGH SPRINGS,0,375000,2001,100,3169.0,1991,2025,0,-82.57691626,29.83690376,00234-003-000,0.0,18.0,621,23,33,0,0,2.0,5286,222100.0,2
363,1716,0.3,1280,3,HIGH SPRINGS,180900,142600,1995,100,1280.0,1995,2025,0,-82.60398191,29.83732436,00206-010-012,0.0,96.0,288,29,29,0,0,2.0,2611,222100.06,1
364,1389,1.8,2529,4,HIGH SPRINGS,237800,555000,2005,100,2135.5,2005,2025,0,-82.6107821,29.84342501,00090-010-035,0.0,576.5,460,19,19,0,0,2.0,3703,222100.02,1
