OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
106,1,106,39112,0.240000000000000,1125,3,GAINESVILLE,144200,259100,1988,100,1125,1971,2022,0,-82.364647820000002,29.698366119999999,06083-009-039,0,148,361,33,50,0,0,2,1092,Springtree
107,1,107,39113,0.240000000000000,1267,3,GAINESVILLE,144200,253600,1988,100,1267,1971,2022,0,-82.364645049999993,29.698612959999998,06083-009-040,0,60,264,33,50,0,0,2,526,Springtree
108,1,108,39115,0.240000000000000,1275,3,GAINESVILLE,143900,263400,1978,100,1275,1972,2022,0,-82.364276840000002,29.698611950000000,06083-010-002,0,69,460,43,49,0,0,2,735,Springtree
109,1,109,39134,0.240000000000000,1247,3,GAINESVILLE,143900,217400,1978,100,1247,1971,2022,0,-82.365176289999994,29.696924500000002,06083-010-021,0,69,420,43,50,0,0,2,1860,Springtree
110,1,110,39138,0.260000000000000,1446,3,GAINESVILLE,143900,259500,1978,100,1446,1971,2022,0,-82.365553869999999,29.696186800000000,06083-010-025,0,10,336,43,50,0,0,2,1796,Springtree
111,1,111,39142,0.240000000000000,1420,3,GAINESVILLE,143900,284000,1985,100,1420,1973,2022,0,-82.365548779999997,29.697166700000000,06083-010-029,0,0,299,36,48,0,0,2,1861,Springtree
112,1,112,39149,0.260000000000000,1482,3,GAINESVILLE,143900,287200,1988,100,1482,1971,2022,0,-82.366087680000007,29.696186900000001,06083-010-036,0,80,520,33,50,0,0,2,571,Springtree
113,1,113,39152,0.240000000000000,1375,3,GAINESVILLE,143900,280400,1978,100,1375,1972,2022,0,-82.366451069999997,29.696685120000001,06083-010-039,0,0,425,43,49,0,0,2,679,Springtree
114,1,114,39195,0.330000000000000,2297,3,GAINESVILLE,143900,338600,1985,100,1947,1971,2022,0,-82.369962990000005,29.695422170000001,06083-010-082,0,350,850,36,50,0,0,3,751,Springtree
115,1,115,39202,0.300000000000000,1421,3,GAINESVILLE,143900,268000,1978,100,1421,1971,2022,0,-82.368991350000002,29.695109110000001,06083-010-089,0,0,0,43,50,0,0,2,1477,Springtree
116,1,116,39205,0.290000000000000,1338,3,GAINESVILLE,143900,271400,1985,100,1338,1971,2022,0,-82.368407939999997,29.695693490000000,06083-010-092,0,0,0,36,50,0,0,2,1572,Springtree
117,1,117,39213,0.240000000000000,1025,3,GAINESVILLE,143900,241000,1985,100,1025,1973,2022,0,-82.365639090000002,29.695665529999999,06083-011-000,0,0,0,36,48,0,0,2,507,Springtree
118,1,118,39243,0.410000000000000,1356,3,GAINESVILLE,143400,215000,1982,100,1356,1972,2022,0,-82.368334550000000,29.698989359999999,06083-013-011,0,36,572,39,49,0,0,2,979,Springtree
119,1,119,39309,0.240000000000000,1774,3,GAINESVILLE,143400,296300,1985,100,1280,1972,2022,0,-82.369214279999994,29.698585200000000,06083-013-077,0,534,0,36,49,0,0,2,1537,Springtree
120,1,120,39349,0.360000000000000,2115,4,GAINESVILLE,171301,425600,1988,100,1985,1984,2022,0,-82.360728089999995,29.678179750000002,06087-010-010,0,162,480,33,37,0,0,2,1636,Springtree
121,1,121,39432,1.520000000000000,3052,5,GAINESVILLE,63400,565000,1988,100,3052,1981,2022,0,-82.361747350000002,29.675193350000001,06088-005-018,0,448,728,33,40,0,0,3,14934,MidtownEast_B
122,1,122,39544,0.100000000000000,1150,3,GAINESVILLE,149101,231000,1999,100,1150,1999,2022,0,-82.359705419999997,29.686951319999999,06091-010-009,0,30,340,22,22,0,0,2,808,Springtree
123,1,123,39545,0.110000000000000,1190,3,GAINESVILLE,149101,240300,1999,100,1190,1999,2022,0,-82.359697999999995,29.686799359999998,06091-010-010,0,30,300,22,22,0,0,2,1709,Springtree
124,1,124,39561,0.100000000000000,1380,3,GAINESVILLE,149101,250900,1999,100,690,1999,2022,0,-82.358610130000002,29.686240550000001,06091-010-026,690,30,286,22,22,0,0,2,1203,Springtree
125,1,125,39583,0.110000000000000,1270,3,GAINESVILLE,149101,238800,1998,100,1270,1998,2022,0,-82.358774260000004,29.688151930000000,06091-010-048,0,20,270,23,23,0,0,2,1235,Springtree
126,1,126,39584,0.130000000000000,1148,3,GAINESVILLE,149101,237000,2001,100,1148,1998,2022,0,-82.358955289999997,29.688132490000001,06091-010-049,0,42,370,20,23,0,0,2,507,Springtree
127,1,127,39587,0.130000000000000,1407,3,GAINESVILLE,149102,279600,2001,100,1407,1999,2022,0,-82.359692600000002,29.685261780000001,06091-020-052,0,36,240,20,22,0,0,2,950,Springtree
128,1,128,39596,0.140000000000000,1224,3,GAINESVILLE,149102,269100,2000,100,1224,2000,2022,0,-82.359302430000000,29.684302450000001,06091-020-061,0,42,254,21,21,0,0,2,910,Springtree
