prop_id,market
38734,228110
38745,220286
38748,209122
38790,203915
38802,231299
38808,199392
38822,211268
38848,195658
38893,209950
38906,180199
38931,179620
38940,204337
38948,206413
38968,202471
39009,222149
39014,214254
39060,216292
39096,230815
39107,225282
39115,230702
39195,322239
39205,225647
39243,224058
39273,242427
39292,245229
39365,354680
39504,656755
39544,206841
39578,213048
39587,231036
39592,215093
39619,202161
39658,216995
39668,232236
39694,230094
39744,427488
39776,223877
39803,323592
39858,392346
39866,334775
39870,457709
39917,272347
39934,270758
39960,194009
39965,321954
39966,244526
39971,276167
39981,284960
39984,314157
39987,256578
39998,353650
40061,316531
40232,399045
40253,317960
40290,397648
40316,498446
40347,351797
40348,284035
40441,126208
40475,134904
40536,277883
40602,306224
40606,241259
40653,491821
40881,339285
41004,205059
41014,191269
41017,167001
41023,190860
41067,165876
41079,190346
41083,168056
41105,186498
41270,342022
41392,252341
41468,201489
41536,338611
41607,244396
41643,348002
41706,280624
41709,259882
41782,134729
41804,152629
41834,142684
41865,173424
41873,150662
41884,134709
41892,145121
41900,179711
41973,222744
42017,253667
42050,318904
42096,209647
42153,297321
42169,257898
42201,266637
42300,240930
42324,230723
42340,266943
42361,267601
42365,264830
42485,218876
42571,169618
42733,404600
42771,224181
42773,245062
42777,230944
42779,269137
42871,372512
42925,252293
43026,238244
43064,203136
43186,322376
43207,297398
43471,203336
43613,362948
43627,314697
43770,219272
43807,175906
43879,218216
43886,196198
43891,244082
43895,116238
43908,215227
44092,336050
44168,1133283
44294,383264
44309,343421
44311,335286
44467,342212
44473,284960
44735,484596
44744,331679
44769,413799
44785,341804
44792,375489
44954,284950
44981,321294
44983,381767
45042,345186
45056,243926
45123,253239
45127,302119
45128,317447
45165,281249
45312,280278
45629,213255
45679,158674
45716,189757
45769,253448
45826,254574
45932,243565
45933,260352
45935,273546
45982,347030
46030,138513
46038,189405
46044,204470
46054,290350
46078,318879
46098,332667
46145,376977
46271,414789
46301,343461
46305,340315
46320,372445
46350,352076
46413,390334
46502,364427
46510,403658
46583,379435
46590,328028
46651,406686
46673,218063
46702,243457
46712,241238
46772,202285
46802,229392
46894,231835
46921,237037
46991,291282
46999,266716
47006,198529
47019,283845
47039,233896
47058,272581
47069,258105
47076,312570
47156,214849
47166,306045
47196,221252
47232,190971
47281,223281
47289,247844
47323,193967
47394,362892
47482,380811
47498,303769
47529,273905
47553,271232
47615,307609
47661,227587
47732,358740
47756,510974
47802,366213
47824,321280
47869,626778
47870,461584
47905,265050
47953,581919
47990,541261
48098,373644
48144,478064
48163,332586
48323,318400
48350,310746
48351,281004
48352,268504
48368,278701
48544,443582
48561,772104
48665,323800
48681,329811
48708,292514
48775,344469
48951,326267
48957,296465
49014,323646
49021,316750
49254,219169
49326,210902
49351,245789
49390,180821
49412,224200
49469,210648
49501,273520
49513,284099
49516,280811
49532,273537
49540,314018
50027,374806
50038,353399
50094,228430
50181,300075
50200,315559
50297,542248
50354,283970
50584,247034
50585,285650
50597,196866
50617,294289
50626,325739
50653,346618
50812,155140
50819,215249
50852,171657
50860,183745
50907,206866
50923,164749
50988,110462
50995,114624
51009,108615
51021,119932
51022,131790
51030,132343
51045,113284
51050,107985
51054,111343
52160,365473
52173,281166
52204,361442
52239,405396
52368,277142
52398,378170
52405,308160
52443,274717
52469,250551
52604,253411
52654,234944
52657,253153
52712,255424
52753,296324
52785,284060
52816,304178
52822,308351
52857,236700
52882,278651
52911,301211
52916,295689
53110,301802
53154,681119
53161,535606
53171,501984
53176,370106
53239,777561
53240,379643
53305,494940
53612,214456
53617,209500
53621,207694
53629,212502
53652,214503
53659,502786
53678,487096
53713,231605
53727,566572
53885,269106
53886,283439
53910,360798
53925,314289
53943,359586
53951,284571
53988,364282
54047,322854
54085,435360
54110,397167
54129,664944
54154,711219
54179,564832
54220,426982
54473,202011
54534,180170
54593,391327
54740,191524
54784,193198
54819,131706
54826,82298
54839,101028
54859,95365
54953,89756
55032,82784
55055,100189
55058,89502
55100,96907
55209,168833
55217,142359
55227,142359
55245,174407
55271,152711
55276,150146
55281,141799
55291,144085
55308,161684
55314,149261
55320,185004
55376,161684
55437,161124
55457,215316
55460,179856
55478,241796
55508,224138
55549,202525
55551,211386
55581,225485
55595,315772
55601,254938
55604,292198
55626,268723
55640,295607
55642,371336
55660,315762
55685,249702
55691,343160
55814,162625
55838,159697
55867,159759
55889,151426
55892,151426
55896,159697
56433,114975
56439,131441
56458,132071
56547,148072
56548,128448
56577,115903
56599,129494
56665,118278
57988,511844
57992,467532
58013,427224
58043,309107
58068,420118
58075,337837
58137,717526
58245,629914
58314,814022
58354,340056
58360,283268
58373,270608
58389,280415
58431,691355
58447,687796
58507,751558
58510,1085555
58527,727435
58532,794816
58549,874217
58775,321869
58912,275257
58920,255686
58921,231055
58946,265209
59011,284267
59030,247390
59054,251360
59078,267144
59083,356475
59107,299189
59143,306341
59169,343718
59191,281069
59251,345818
59319,656044
59380,315204
59399,267551
59406,301544
59427,285490
59436,424590
59518,195594
59532,170420
59534,194258
59551,181665
59567,252829
59575,251705
59586,240828
59593,230203
59597,247185
59627,224763
59681,189014
59694,255607
59723,258743
59784,402648
59786,438641
59809,439840
59833,664397
59834,476997
59837,506974
59868,456724
59873,467510
59991,290349
60025,249451
60102,326326
60122,363346
60132,320643
60149,288859
60164,272216
60175,419712
60208,182677
60220,178626
60223,168877
60236,168737
60256,153657
60269,204676
60273,159898
60278,222176
60280,211592
60287,181026
60308,179011
60361,613011
60581,669705
60589,509115
60596,582681
60623,441786
60691,535503
60722,776017
60752,737896
60771,374341
60801,307113
60822,367927
60839,651669
60848,555838
60880,586975
60888,645554
60929,986996
60935,844976
60962,393594
60970,447195
60984,394724
61005,450170
61014,377816
61105,301123
61146,313609
61158,303881
61208,641000
61261,352367
61309,342328
61343,484138
61356,463960
61359,484040
61401,777546
61406,824403
61419,550795
61420,539594
61439,476110
61480,830180
61489,872934
61505,728441
61518,783286
61521,622112
61524,399722
61534,437573
61541,721487
61600,585924
61610,474258
61627,351700
61630,398630
61637,363412
61654,354805
61699,422093
61787,481420
61858,551556
61916,476720
62316,130765
62341,133751
62377,137102
62380,110823
62467,89147
62490,98746
62511,119451
62512,101594
62515,132477
62518,129790
62556,106925
62609,111717
62635,95543
62994,258927
63015,178587
63339,123576
63341,123730
63345,123504
63351,126505
63502,145599
63576,490629
63600,505124
63729,499914
63764,449525
63799,323436
63898,291711
63928,281223
64011,281967
64121,322079
64139,309502
64149,272533
64152,306138
64231,377253
64234,379264
64256,392121
64266,355568
64290,311146
64304,316962
64314,299083
64330,321387
64352,343583
64359,435264
64380,315001
64381,304620
64425,244699
64428,296986
64457,240268
64525,989532
64685,345291
64705,269409
64740,338476
64753,281279
64765,301757
64828,352764
64866,416913
64879,312598
64921,299859
64967,443567
64977,326607
64978,295569
65022,280973
65046,311322
65048,350483
65050,371036
65052,374796
65108,315238
65119,373389
65125,336179
65142,309151
65144,307989
65158,302151
65170,334430
65175,467682
65179,406980
65223,374802
65240,364630
65249,306583
65255,340599
65299,350773
65398,354559
65514,450608
65638,420507
65642,395548
65646,463594
65784,450477
65821,259334
65823,139539
65908,161021
65911,303399
65942,472525
66005,274390
66029,305191
66141,210928
66215,202889
66317,354934
66328,373302
66826,462373
66837,483854
66842,488499
66864,423607
66871,401421
66881,757530
66888,657935
67036,254318
67188,360674
67235,443714
67800,216066
67808,134914
67827,223803
67909,125149
67913,125149
