OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
2514,1,2514,7932,0.230000000000000,1501,3,NEWBERRY,236101,250000,2004,100,1501.000000000000000,2004,2025,0,-82.597351639999999,29.656815479999999,01901-020-079,0,251,440,20,20,0,0,2.000000000000000,2823,swNewberry_A
2515,1,2515,7963,0.290000000000000,1811,3,NEWBERRY,236103,340000,2005,100,1811.000000000000000,2005,2025,0,-82.590857200000002,29.657751810000001,01901-050-044,0,112,420,19,19,0,0,2.000000000000000,1896,swNewberry_A
2516,1,2516,7997,0.240000000000000,1736,3,NEWBERRY,236105,300000,2006,100,1735.500000000000000,2006,2025,0,-82.589490220000002,29.660832899999999,01901-060-024,0,260,441,18,18,0,0,2.000000000000000,935,swNewberry_A
2517,1,2517,8074,0.230000000000000,2052,3,NEWBERRY,236106,402000,2015,100,2052.000000000000000,2015,2025,0,-82.588222070000000,29.663654699999999,01901-070-101,0,225,440,9,9,0,0,2.500000000000000,352,swNewberry_A
2518,1,2518,8261,4.760000000000000,1550,4,NEWBERRY,0,430000,2007,100,1550.000000000000000,1992,2025,0,-82.582944400000002,29.641153500000001,01925-010-000,0,0,0,17,32,0,0,2.000000000000000,6774,swNewberry_A
2519,1,2519,8423,0.180000000000000,3920,3,NEWBERRY,249400,465000,2012,100,1712.000000000000000,2012,2025,0,-82.600487279999996,29.642155769999999,01933-010-098,1856,608,616,12,12,0,0,4.500000000000000,1317,swNewberry_A
2520,1,2520,8466,1.000000000000000,1262,2,NEWBERRY,0,240000,2005,100,992.000000000000000,1955,2025,0,-82.601518209999995,29.643211720000000,01937-005-000,0,200,0,19,69,0,0,2.000000000000000,2020,swNewberry_A
2521,1,2521,8900,0.230000000000000,1224,3,NEWBERRY,138300,215000,2016,100,1224.000000000000000,2016,2025,0,-82.609775839999998,29.648434630000001,02106-000-000,0,52,0,8,8,0,0,2.000000000000000,1408,swNewberry_A
2522,1,2522,8944,0.310000000000000,1394,3,NEWBERRY,138300,184000,1994,100,1394.000000000000000,1937,2025,0,-82.611613210000002,29.647749560000001,02141-000-000,0,232,0,30,87,0,0,1.000000000000000,7647,swNewberry_A
2523,1,2523,9485,0.240000000000000,1548,3,NEWBERRY,20800,267000,2002,100,1296.000000000000000,1993,2025,0,-82.623377660000003,29.648711169999999,02509-010-001,0,402,0,22,31,0,0,2.000000000000000,6954,swNewberry_A
2524,1,2524,25325,2.850000000000000,3397,5,ARCHER,5000,699900,2007,100,1801.000000000000000,1900,2025,0,-82.527788659999999,29.529302080000001,05044-001-000,1596,1179,0,17,124,0,0,3.000000000000000,57804,Archer
2525,1,2525,25622,0.350000000000000,1322,3,ARCHER,253700,285900,2007,100,1054.000000000000000,2007,2025,0,-82.518163950000002,29.520195659999999,05124-003-005,99,849,0,17,17,0,0,2.000000000000000,7775,Archer
2526,1,2526,26558,1.030000000000000,1232,3,SUWANNEE,171700,245000,1994,100,1232.000000000000000,1947,2025,0,-82.403950499999993,29.870007829999999,05421-001-002,0,24,0,30,77,0,0,1.000000000000000,10992,Rural_North
2527,1,2527,26784,2.000000000000000,5023,4,LACROSSE,0,525000,1994,100,3051.000000000000000,1991,2025,0,-82.406943299999995,29.851558879999999,05501-007-000,1972,350,624,30,33,0,0,3.500000000000000,12032,Rural_North
2528,1,2528,27374,6.690000000000000,6166,6,SUWANNEE,0,1580000,2012,100,3909.000000000000000,2012,2025,0,-82.459122480000005,29.820811809999999,05732-003-006,2257,1152,960,12,12,0,0,4.500000000000000,88059,Rural_North
2529,1,2529,27481,5.020000000000000,1925,3,SUWANNEE,0,450000,2016,100,1925.000000000000000,2016,2025,0,-82.404718529999997,29.809614090000000,05759-001-012,0,40,440,8,8,0,0,2.000000000000000,13199,Rural_North
