prop_id,legal_acreage,living_area,condition_cd,tax_area_description,actual_age,abs_subdv_cd,Aessessment_Val
5251,0.77,2153,3,HIGH SPRINGS,22,228100,319720
5253,1,1779,3,HIGH SPRINGS,20,228100,420534
5254,1,1848,3,HIGH SPRINGS,22,228100,441446
5259,1,1930,3,HIGH SPRINGS,20,228100,408742
5262,1,1649,3,HIGH SPRINGS,21,228100,342979
5266,1.21,1843,3,HIGH SPRINGS,21,228100,390564
5276,1.34,2080,3,HIGH SPRINGS,19,228100,446211
5282,1.01,1930,4,HIGH SPRINGS,21,228100,408276
5287,1.25,1523,3,HIGH SPRINGS,20,228100,354036
5303,1.24,2178,3,HIGH SPRINGS,20,236000,466549
5317,1.41,2808,3,HIGH SPRINGS,19,236000,553790
5329,1.3,2184,3,HIGH SPRINGS,20,236000,451616
5330,1.1,2205,3,HIGH SPRINGS,20,236000,487931
5331,1.03,2207,3,HIGH SPRINGS,21,236000,466752
5333,1,1551,3,HIGH SPRINGS,20,236000,342468
5336,1.03,1704,3,HIGH SPRINGS,19,236000,399216
5368,0.4,1881,3,HIGH SPRINGS,16,245400,444590
5395,0.35,2088,4,HIGH SPRINGS,3,245400,459965
5398,0.37,2108,3,HIGH SPRINGS,10,245400,443388
5410,0.37,1932,3,HIGH SPRINGS,9,245400,384150
5417,0.37,2020,3,HIGH SPRINGS,17,245400,421352
5422,0.35,1975,3,HIGH SPRINGS,7,245400,457652
5433,0.51,2048,3,HIGH SPRINGS,15,245400,463079
5444,0.37,2450,3,HIGH SPRINGS,7,245400,454142
5455,0.29,2088,4,HIGH SPRINGS,3,245400,463865
5488,5.01,3363,4,HIGH SPRINGS,18,145600,688982
5507,5.03,1788,4,HIGH SPRINGS,23,145600,391148
5523,15,2004,4,HIGH SPRINGS,18,0,573464
5541,5.01,1612,3,HIGH SPRINGS,19,183300,414612
5562,5.01,2855,4,HIGH SPRINGS,24,183300,550854
5564,5.01,2729,3,HIGH SPRINGS,7,183300,639594
5587,1.06,1528,3,SUWANNEE,31,0,290424
5636,1,2204,3,HIGH SPRINGS,18,155300,428048
5681,2,616,2,SUWANNEE,62,0,73648
5709,5,1886,3,HIGH SPRINGS,23,146000,344654
5805,0.63,1758,4,SUWANNEE,3,191800,348085
5849,4.14,1274,3,SUWANNEE,65,0,245154
5860,4.82,1276,3,SUWANNEE,20,0,348992
5865,7.46,2165,3,SUWANNEE,54,0,205740
5866,9.08,1682,3,SUWANNEE,20,0,349784
5909,3,2592,3,SUWANNEE,33,170200,477414
5928,2.5,1562,3,SUWANNEE,78,0,123587
5935,6.64,1878,3,SUWANNEE,45,0,454265
5952,5.1,1712,3,SUWANNEE,39,0,331632
5968,1,1248,3,SUWANNEE,48,0,259300
5983,4.03,1862,3,SUWANNEE,46,0,376180
6026,2.25,1957,3,HIGH SPRINGS,19,59000,362676
6039,2.03,1350,3,HIGH SPRINGS,26,59000,247370
6041,2.05,1873,3,HIGH SPRINGS,27,59000,442687
6042,3.1,1460,3,HIGH SPRINGS,25,59000,385129
6052,5,3348,4,SUWANNEE,15,151000,709359
6056,6.03,2516,4,SUWANNEE,19,151000,486201
6103,1.26,1272,3,SUWANNEE,42,30900,314584
6117,6.26,1526,3,SUWANNEE,27,0,351622
6119,6,1775,3,SUWANNEE,22,0,389980
6163,4.37,2943,4,SUWANNEE,30,0,531714
6188,6.58,2142,4,SUWANNEE,18,0,592108
6229,12.37,3208,3,SUWANNEE,17,0,551384
6307,5,2512,4,SUWANNEE,13,0,719294
6353,7.5,2166,4,SUWANNEE,29,0,548760
6396,5,1425,3,SUWANNEE,47,0,315604
6406,5,1560,3,SUWANNEE,11,0,384696
6564,1,1112,3,SUWANNEE,63,0,164792
6592,2.1,2842,4,SUWANNEE,16,113800,480983
6666,5,1593,3,SUWANNEE,52,0,309987
6681,3.4,1242,3,SUWANNEE,24,0,303491
6700,10.03,1496,3,SUWANNEE,30,0,448996
6740,20,4529,5,SUWANNEE,28,0,1287792
6804,10,2171,4,NEWBERRY,18,207000,534940
6875,1.77,2533,3,SUWANNEE,46,0,376674
6907,2,2252,4,SUWANNEE,16,47700,489552
6909,3.88,2462,4,SUWANNEE,17,47700,651551
7004,4.68,1200,3,SUWANNEE,23,29800,317812
7010,5.17,2051,3,SUWANNEE,44,29800,331837
7032,4.89,1118,3,SUWANNEE,48,29800,318302
7147,5.09,1584,3,NEWBERRY,9,0,504110
7309,2.25,2354,3,NEWBERRY,22,138500,564070
7339,1,1182,3,NEWBERRY,64,138501,162215
7370,1.71,1228,3,SUWANNEE,95,0,197339
7404,1.53,1188,3,NEWBERRY,30,138502,298073
7412,1.53,1169,3,NEWBERRY,28,138502,285509
7422,1.04,1819,3,NEWBERRY,23,138502,419713
7423,1.07,1737,3,NEWBERRY,29,138502,339236
7425,1,1804,3,NEWBERRY,28,138502,342793
7446,1.1,1632,3,NEWBERRY,22,138503,247441
7460,1.05,1512,3,NEWBERRY,24,138503,329737
7471,1.01,1366,3,NEWBERRY,25,138503,278780
7475,1.05,2178,3,NEWBERRY,25,138503,373867
7476,1,1763,3,NEWBERRY,20,138503,383929
7487,1,1553,3,NEWBERRY,24,138503,296429
7524,10,2450,4,NEWBERRY,12,0,597457
7662,0.2,1661,3,NEWBERRY,19,241900,287840
7664,0.2,1207,3,NEWBERRY,19,241900,256892
7668,0.2,1369,3,NEWBERRY,19,241900,270597
7671,0.18,1559,3,NEWBERRY,18,241900,289432
7675,0.23,1716,3,NEWBERRY,18,241900,305706
7684,0.19,1897,3,NEWBERRY,18,241900,311876
7686,0.19,1705,3,NEWBERRY,18,241900,295100
7691,0.19,1802,3,NEWBERRY,19,241900,339891
7692,0.19,1913,3,NEWBERRY,19,241900,317272
7695,0.18,1318,3,NEWBERRY,19,241900,279825
7696,0.18,1479,3,NEWBERRY,19,241900,281763
7697,0.18,1513,3,NEWBERRY,19,241900,303466
7711,0.2,1562,3,NEWBERRY,19,241900,310267
7713,0.21,1707,3,NEWBERRY,19,241900,299955
7716,0.24,1555,3,NEWBERRY,18,241901,297640
7717,0.25,1692,3,NEWBERRY,18,241901,315741
7721,0.24,2315,3,NEWBERRY,18,241901,357771
7722,0.25,1663,3,NEWBERRY,18,241901,333623
7733,0.23,1607,3,NEWBERRY,18,241901,319561
7734,0.28,1685,3,NEWBERRY,18,241901,286022
7739,0.32,1707,3,NEWBERRY,18,241901,359200
7741,0.22,1852,3,NEWBERRY,18,241901,324009
7745,0.17,1482,3,NEWBERRY,12,241901,228688
7756,0.18,1631,3,NEWBERRY,17,241901,294464
7772,0.19,1628,3,NEWBERRY,18,241901,292597
7776,0.25,1677,3,NEWBERRY,10,241902,346964
7780,0.21,1525,3,NEWBERRY,11,241902,311159
7782,0.33,1677,3,NEWBERRY,9,241902,359255
7788,0.17,1546,3,NEWBERRY,11,241902,306681
7794,0.2,1298,3,NEWBERRY,11,241902,282237
7795,0.2,1232,3,NEWBERRY,11,241902,291171
7797,0.2,1365,3,NEWBERRY,10,241902,290333
7798,0.2,1446,3,NEWBERRY,15,241902,309464
7804,0.2,1626,3,NEWBERRY,15,241902,311126
7807,0.19,1509,3,NEWBERRY,9,241902,324972
7808,0.19,1383,3,NEWBERRY,13,241902,285981
7812,0.18,1298,3,NEWBERRY,11,241902,287609
7815,0.21,1468,3,NEWBERRY,8,241902,311672
7817,0.21,1638,3,NEWBERRY,11,241902,305409
