prop_id,legal_acreage,city_id,yr_blt,living_area,land_type_cd,condition_cd,sl_price,prop_val_yr,CENTROID_X,CENTROID_Y
5027,0.23,1019,1976,1144,LT,3,203000,2024,-82.59891996,29.81408624
5048,1.29,1019,1965,1335,LT,3,235600,2023,-82.60049087,29.81338703
5049,0.34,1019,1965,1075,LT,3,191800,2023,-82.60069921,29.81379821
5064,0.23,1019,1963,1200,LT,3,251100,2023,-82.60156861,29.81406993
5075,0.27,1019,1960,1000,LT,3,201000,2023,-82.60238704,29.81433372
5081,0.58,1019,1987,1767,LT,3,282200,2024,-82.60486018,29.81143382
5086,0.4,1019,1977,1323,LT,3,169800,2024,-82.60310121,29.8129515
5094,0.7,1019,1967,1520,LT,3,262400,2024,-82.60320111,29.8112743
5098,0.34,1019,1974,1574,LT,3,270200,2024,-82.60257844,29.81224654
5104,0.7,1019,1964,1284,LT,3,182000,2022,-82.60209753,29.81128177
5110,0.23,1019,1964,1332,LT,3,253300,2023,-82.6015469,29.81142804
5117,0.34,1019,1973,1289,LT,3,220000,2024,-82.60068431,29.8119834
5135,0.23,1019,1984,1056,LT,3,167000,2022,-82.59890506,29.81226948
5140,0.3,1019,1983,1140,LT,3,247000,2024,-82.59853346,29.81116831
5144,0.3,1019,1982,1308,LT,3,201400,2022,-82.59854246,29.81227175
5148,0.23,1019,1984,1308,LT,3,214400,2022,-82.59801545,29.81145008
5171,2.5,1019,2003,3114,AC,4,530200,2024,-82.57967809,29.81101333
5235,2.03,0,1961,840,AC,3,225200,2022,-82.56499195,29.8104528
5253,1,1019,2004,1779,LT,3,460000,2024,-82.56830096,29.80994972
5254,1,1019,2002,1848,LT,3,460400,2024,-82.57053166,29.80902614
5259,1,1019,2004,1930,LT,3,455100,2022,-82.56823178,29.80899363
5262,1,1019,2003,1649,LT,3,344400,2023,-82.56650994,29.80878692
5276,1.34,1019,2005,2080,LT,3,470300,2024,-82.56909482,29.8081131
5282,1.01,1019,2003,1930,LT,4,439600,2023,-82.57159683,29.80864482
5333,1,1019,2004,1551,LT,3,346400,2022,-82.56597033,29.80349676
5368,0.4,1019,2008,1881,LT,3,471800,2022,-82.56379491,29.80080949
5375,0.32,1019,2021,2127,LT,NULL,477100,2022,-82.5637711,29.80341493
5376,0.32,1019,2022,2089,LT,NULL,435100,2023,-82.56376907,29.8036349
5395,0.35,1019,2021,2088,LT,4,460400,2022,-82.56152806,29.80731096
5398,0.37,1019,2014,2108,LT,3,446200,2024,-82.56121325,29.80641769
5403,0.37,1019,2020,2178,LT,NULL,465500,2024,-82.56122523,29.80511159
5410,0.37,1019,2015,1932,LT,3,385500,2022,-82.56175163,29.80616021
5422,0.35,1019,2017,1975,LT,3,462700,2023,-82.56302207,29.80515656
5424,0.35,1019,2022,2251,LT,NULL,475100,2023,-82.56301754,29.80565151
5433,0.51,1019,2009,2048,LT,3,468000,2024,-82.56049813,29.80486553
5444,0.37,1019,2017,2450,LT,3,473600,2024,-82.56177055,29.80341027
5507,5.03,1019,2001,1788,AC,4,405900,2024,-82.57292552,29.78823463
5523,15,1019,2006,2004,AC,4,608400,2022,-82.578183,29.7947427
5636,1,1019,2006,2204,LT,3,429400,2023,-82.60690685,29.79678358
5709,5,1019,2001,1886,AC,3,345100,2024,-82.63123128,29.78983332
5805,0.63,0,2021,1758,UN,3,349200,2022,-82.6103331,29.77563496
5860,4.82,0,2004,1276,AC,3,351400,2023,-82.61759543,29.7756033
5928,2.5,0,1946,1562,AC,3,145600,2024,-82.59100013,29.77155394
5952,5.1,0,1985,1712,AC,3,341900,2024,-82.5672681,29.78326822
5983,4.03,0,1978,1862,AC,3,383000,2024,-82.56120822,29.77180344
6026,2.25,1019,2005,1957,AC,3,367200,2023,-82.57552345,29.78470758
6041,2.05,1019,1997,1873,AC,3,445500,2024,-82.57286296,29.77994482
6042,3.1,1019,1999,1460,AC,3,392000,2024,-82.57285431,29.7794291
6056,6.03,0,2005,2516,AC,4,498900,2023,-82.56536736,29.76741025
6103,1.26,0,1982,1272,AC,3,320000,2022,-82.59183711,29.76854566
6119,6,0,2002,1775,AC,3,390300,2023,-82.59993641,29.77059399
6163,4.37,0,1994,2943,AC,4,568300,2024,-82.61155412,29.76647406
6188,6.58,0,2006,2142,AC,4,596700,2024,-82.61639143,29.76229781
6229,12.37,0,2007,3208,AC,3,588300,2022,-82.61364539,29.74623253
6307,5,0,2011,2512,AC,4,779600,2022,-82.59487428,29.75581486
6353,7.5,0,1995,2166,AC,4,577500,2022,-82.60555297,29.74681631
6396,5,0,1977,1425,AC,3,325700,2023,-82.58267461,29.75084309
6406,5,0,2013,1560,AC,3,405900,2024,-82.58740777,29.75577049
6564,1,0,1961,1112,AC,3,168800,2022,-82.60338925,29.72778568
6654,5,1022,0,0,AC,NULL,116400,2022,-82.62242049,29.72972261
6666,5,0,1972,1593,AC,3,315000,2023,-82.60818311,29.72954121
6700,10.03,0,1994,1496,AC,3,463900,2022,-82.62587528,29.73584087
6804,10,1022,2006,2171,AC,4,549600,2022,-82.61393185,29.71660439
6875,1.77,0,1978,2533,AC,3,394500,2023,-82.56893827,29.72217791
6907,2,0,2008,2252,AC,4,501300,2024,-82.57022898,29.72681519
6909,3.88,0,2007,2462,AC,4,657900,2024,-82.57267892,29.72594015
7032,4.89,0,1976,1118,AC,3,329800,2024,-82.56397536,29.7084337
7103,9.64,1022,2021,2428,AC,NULL,607800,2023,-82.60278682,29.70899232
7370,1.71,0,1929,1228,AC,3,200800,2022,-82.58350741,29.67675519
7425,1,1022,1996,1804,LT,3,381600,2023,-82.60368958,29.67873411
7446,1.1,1022,2002,1632,LT,3,262900,2023,-82.6014467,29.68251
7460,1.05,1022,2000,1512,LT,3,330300,2023,-82.60024832,29.6774147
7471,1.01,1022,1999,1366,LT,3,281800,2022,-82.60178836,29.67697109
7475,1.05,1022,1999,2178,LT,3,404200,2022,-82.6034954,29.68040195
7476,1,1022,2004,1763,LT,3,414000,2024,-82.60331645,29.67998951
7487,1,1022,2000,1518,LT,3,297400,2022,-82.60105024,29.67979454
7662,0.2,1022,2005,1661,LT,3,291300,2022,-82.60863609,29.66025471
7668,0.2,1022,2005,1369,LT,3,272000,2024,-82.61025715,29.66022782
7686,0.19,1022,2006,1705,LT,3,295500,2023,-82.61053077,29.66067556
7691,0.19,1022,2005,1802,LT,3,340700,2024,-82.61105489,29.66094375
7692,0.19,1022,2005,1913,LT,3,320400,2022,-82.61131461,29.66094037
7696,0.18,1022,2005,1479,LT,3,282200,2022,-82.61110313,29.66138851
7711,0.2,1022,2005,1562,LT,3,311100,2023,-82.60950291,29.66068893
7716,0.24,1022,2006,1555,LT,3,300300,2022,-82.61369985,29.66062191
7717,0.25,1022,2006,1692,LT,3,316100,2024,-82.61406485,29.66061906
7721,0.24,1022,2006,2315,LT,3,362600,2024,-82.61298593,29.66088192
7739,0.32,1022,2006,1707,LT,3,360400,2023,-82.61458453,29.66023633
7780,0.21,1022,2013,1525,LT,3,312400,2022,-82.61436331,29.65763008
7788,0.17,1022,2013,1546,LT,3,308000,2022,-82.61252044,29.65718537
7794,0.2,1022,2013,1298,LT,3,283500,2023,-82.61153198,29.65695211
7797,0.2,1022,2014,1365,LT,3,291600,2022,-82.61158831,29.65769446
7798,0.2,1022,2009,1446,LT,3,310500,2023,-82.61159284,29.6579343
7804,0.2,1022,2009,1626,LT,3,312100,2023,-82.61211222,29.65833594
7808,0.19,1022,2011,1383,LT,3,286500,2023,-82.61294012,29.65873879
7812,0.18,1022,2013,1298,LT,3,289000,2022,-82.61324887,29.65851767
7815,0.21,1022,2016,1468,LT,3,313000,2022,-82.61353022,29.65787903
7817,0.21,1022,2013,1638,LT,3,306800,2024,-82.6129637,29.6578911
7840,9.97,0,1982,2832,AC,4,549600,2023,-82.59190128,29.66397587
7904,0.45,1022,2004,1651,LT,3,304400,2024,-82.5955802,29.65675124
7915,0.36,1022,2004,1956,LT,3,399400,2022,-82.59754868,29.6573744
7939,0.23,1022,2004,1696,LT,3,305800,2024,-82.59522161,29.65640374
7943,0.23,1022,2004,1866,LT,3,340000,2024,-82.59472934,29.65777462
7948,0.24,1022,2004,1811,LT,3,314600,2023,-82.59273939,29.65776653
7954,0.28,1022,2004,1693,LT,3,287900,2022,-82.59353567,29.65708243
7959,0.29,1022,2005,1652,LT,3,303800,2024,-82.59192757,29.65774178
7978,0.34,1022,2005,1926,LT,3,286000,2024,-82.58896554,29.65716551
7984,0.24,1022,2006,1876,LT,3,303500,2022,-82.58907503,29.65889689
7990,0.24,1022,2008,1674,LT,3,315300,2023,-82.58910325,29.66036084
8017,0.23,1022,2006,1555,LT,3,296100,2022,-82.59002364,29.65910229
8041,0.28,1022,2007,1853,LT,3,291600,2022,-82.58794894,29.66129336
8074,0.23,1022,2015,2052,LT,3,393300,2023,-82.58822207,29.6636547
8075,0.26,1022,2011,1838,LT,3,340600,2024,-82.58821891,29.66340764
8082,0.24,1022,2007,2200,LT,3,352800,2024,-82.58608384,29.66337368
8099,0.23,1022,2010,1896,LT,3,357800,2023,-82.58750637,29.66280381
8101,0.23,1022,2012,1652,LT,3,343700,2022,-82.58768232,29.66332764
8209,5.06,1022,2004,1292,AC,3,331500,2022,-82.55951592,29.64096601
8265,1.73,0,1972,1924,AC,3,338100,2024,-82.5813803,29.64489326
8335,0.18,1022,2013,3004,LT,2,389900,2024,-82.60182725,29.64226913
8362,0.16,1022,2013,2348,LT,2,349600,2022,-82.60226597,29.63983707
8363,0.22,1022,2008,3896,LT,2,424900,2024,-82.60230008,29.63959963
8368,0.18,1022,2009,2200,LT,2,339300,2023,-82.6012678,29.63952717
8405,0.18,1022,2011,3420,LT,2,416500,2023,-82.59862407,29.64110817
