prop_id,legal_acreage,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,actual_age
43492,0.02,1787,LT,3,276300,ST. JOHN'S,15
43601,0.17,1678,LT,4,310900,ST. JOHN'S,23
44365,0.21,1918,LT,4,357700,ST. JOHN'S,26
44531,0.22,1859,LT,4,359600,ST. JOHN'S,24
44660,0.15,1807,LT,4,339600,ST. JOHN'S,18
44786,0.16,2031,LT,3,448500,ST. JOHN'S,11
45287,2.25,2881,LT,4,696300,ST. JOHN'S,47
45739,0.28,1228,UN,3,243000,ST. JOHN'S,53
46286,0.06,1168,LT,4,357500,GAINESVILLE,19
46366,0.34,2190,UN,3,455700,GAINESVILLE,58
46449,0.35,1735,UN,3,371300,GAINESVILLE,58
46678,0.28,1456,UN,3,273500,GAINESVILLE,59
47096,0.29,1590,UN,3,245000,GAINESVILLE,64
47119,0.36,1735,UN,3,312400,GAINESVILLE,63
47156,0.23,1216,UN,3,282800,GAINESVILLE,59
47196,0.27,1200,UN,3,268300,GAINESVILLE,57
47285,0.23,1315,UN,3,296000,GAINESVILLE,65
47445,0.33,2498,LT,3,493400,GAINESVILLE,60
47763,0.42,2166,UN,3,389100,GAINESVILLE,39
47926,0.31,1928,UN,3,339600,GAINESVILLE,44
48178,0.67,3165,UN,4,501500,GAINESVILLE,38
48444,0.29,1300,UN,3,355400,GAINESVILLE,64
49074,0.33,1934,UN,3,355500,GAINESVILLE,25
49137,0.28,2258,UN,3,453400,GAINESVILLE,61
49383,0.03,1806,UN,3,233000,GAINESVILLE,40
49469,0.24,1326,UN,3,254200,GAINESVILLE,66
49526,0.25,1215,UN,3,253300,GAINESVILLE,63
50860,0.02,941,LT,4,216600,GAINESVILLE,25
52134,1.9,2134,AC,4,325500,ST. JOHN'S,55
52320,1.29,5058,UN,4,668300,ST. JOHN'S,56
52443,0.47,2036,UN,3,261800,ST. JOHN'S,48
52649,0.67,2024,UN,3,363500,ST. JOHN'S,42
53110,1.25,1511,LT,3,314800,ST. JOHN'S,39
53213,0.99,1966,LT,3,472100,ST. JOHN'S,33
53505,0.56,2053,UN,4,404000,ST. JOHN'S,33
54647,0.21,1532,LT,4,331700,GAINESVILLE,10
54819,0.07,1200,UN,3,143600,ST. JOHN'S,38
54899,0.05,788,UN,3,79500,ST. JOHN'S,39
55251,0.03,1370,UN,3,188800,GAINESVILLE,36
55271,0.02,1106,UN,3,183000,GAINESVILLE,37
55420,0.03,1106,UN,3,179300,GAINESVILLE,37
55457,0.08,1683,LT,3,211000,GAINESVILLE,38
56439,0.01,1094,UN,3,166700,GAINESVILLE,40
56668,0.02,1178,LT,3,130900,GAINESVILLE,18
58022,0.19,1959,LT,4,414400,ST. JOHN'S,15
58039,0.07,2719,LT,4,385300,ST. JOHN'S,16
58062,0.39,2072,LT,4,494100,ST. JOHN'S,11
58082,0.22,1912,LT,4,460300,ST. JOHN'S,12
58314,5.63,4282,AC,4,699000,ST. JOHN'S,46
59078,0.27,1356,UN,3,321500,ST. JOHN'S,37
59436,0.31,2249,UN,4,461300,ST. JOHN'S,42
59665,0.03,1152,UN,3,204000,ST. JOHN'S,39
60017,0.26,2184,UN,3,421600,ST. JOHN'S,33
60246,0.03,1203,UN,3,186200,ST. JOHN'S,29
60249,0.04,1400,UN,3,209500,ST. JOHN'S,27
