prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,actual_year_built,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_F,High_Springs_Main,Lugano,Magnolia_Heights,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B
1951,1.99,1867,1.0,HIGH SPRINGS,419400,27065,2003,100,1867.0,1988,0.0,216.0,273.0,22,329425.0,2.604671390392094,-82.587335,29.839017,00236-050-000,High_Springs_Main,False,False,False,0.78,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1960,0.21,1593,1.0,HIGH SPRINGS,308600,1074,2013,100,1593.0,2013,0.0,170.0,484.0,12,261236.0,0.27486482009162805,-82.58749,29.830252,00236-100-008,High_Springs_Main,True,False,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1965,0.21,1733,1.0,HIGH SPRINGS,322000,4102,2015,100,1733.0,2015,0.0,72.0,484.0,10,269597.99999999994,0.27486482009162805,-82.58751,29.831421,00236-100-013,High_Springs_Main,True,False,False,0.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1966,0.21,1556,1.0,HIGH SPRINGS,317600,1164,2014,100,1556.0,2014,0.0,212.0,484.0,11,268796.0,0.27486482009162805,-82.587514,29.831654,00236-100-014,High_Springs_Main,True,False,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1970,0.21,1441,1.0,HIGH SPRINGS,316800,671,2017,100,2882.0,2017,0.0,376.0,800.0,8,268609.0,0.27486482009162805,-82.58753,29.832589,00236-100-018,High_Springs_Main,True,False,False,0.92,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,0.23,1847,1.0,HIGH SPRINGS,329400,77,2016,100,1847.0,2016,0.0,239.0,462.0,9,279913.0,0.30104242200511644,-82.586954,29.830013,00236-100-074,High_Springs_Main,True,False,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2030,0.25,1644,1.0,HIGH SPRINGS,320300,1216,2015,100,1644.0,2015,0.0,290.0,484.0,10,271039.0,0.32722002391860483,-82.58698,29.831004,00236-100-078,High_Springs_Main,True,False,False,0.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2033,0.2,1484,1.0,HIGH SPRINGS,321500,943,2009,100,1483.5,2009,0.0,397.5,444.0,16,272332.0,0.26177601913488385,-82.586658,29.830507,00236-100-081,High_Springs_Main,True,False,False,0.84,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2043,0.2,1394,1.0,HIGH SPRINGS,276900,1535,2016,100,1394.0,2016,0.0,188.0,400.0,9,233829.99999999997,0.26177601913488385,-82.58615,29.830255,00236-100-091,High_Springs_Main,True,False,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2047,0.2,1772,1.0,HIGH SPRINGS,331700,1180,2014,100,1772.0,2014,0.0,216.0,484.0,11,280765.0,0.26177601913488385,-82.585838,29.830497,00236-100-095,High_Springs_Main,True,False,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
