prop_id,legal_acreage,city_id,yr_blt,living_area,land_type_cd,condition_cd,sl_price
12883,0.71,1014,1967,825,UN,3,120000
13424,0.21,1014,2004,1006,UN,3,250500
13444,0.29,1014,1984,1032,UN,3,178200
13686,0.19,1014,2021,1351,LT,3,262700
13687,0.19,1014,2020,1419,LT,NULL,261400
13693,0.18,1014,2017,1233,LT,3,201500
13733,0.19,1014,2009,1113,LT,3,216800
13749,0.22,1014,1985,1056,UN,3,161400
13776,0.29,1014,1984,1107,UN,3,204800
13796,0.17,1014,1983,1260,UN,3,173600
13836,0.25,1014,1972,1301,UN,3,214600
13979,0.31,1014,1976,1352,UN,3,244600
14018,0.33,1014,2000,1404,UN,3,250000
14170,0.21,1014,1975,1056,LT,3,206600
14214,0.17,1014,1975,1056,UN,3,203800
14250,0.17,1014,1959,768,UN,3,167600
14254,0.33,1014,1956,780,UN,3,177000
14400,0.17,1014,1975,1232,UN,3,168000
14462,0.23,1014,1963,1188,UN,3,193100
14523,0.5,1014,1999,1323,LT,3,263100
14542,0.29,1014,2003,1528,LT,3,263400
14543,0.25,1014,2003,1619,LT,3,284100
14543,0.25,1014,2003,1619,LT,3,315000
14545,0.25,1014,2003,1595,LT,3,341700
14609,0.14,1014,1920,1152,LT,3,197800
14755,0.35,1014,1972,1905,LT,3,230000
14795,0.23,1014,1964,1970,LT,3,180400
14834,0.29,1014,1980,2311,LT,3,340900
14835,0.29,1014,1965,1362,LT,3,145600
14875,0.23,1014,1960,1104,LT,3,227700
14898,0.23,1014,1985,1100,LT,3,189900
14914,0.37,1014,2014,2147,LT,3,539900
14938,0.28,1014,2020,2555,LT,3,548500
14958,0.3,1014,2020,2586,LT,NULL,539600
14997,0.62,1014,2004,1974,LT,4,434800
15021,5.14,1014,2012,2277,AC,4,401400
15375,5,1014,1992,1960,AC,4,430000
15396,0.89,1014,1966,1503,AC,3,241300
15442,2.76,1014,2000,2212,AC,3,437100
15462,5,1014,2003,2256,AC,4,610000
15542,0.21,1014,1996,1359,LT,3,291100
15558,0.22,1014,1999,1327,LT,3,296000
15564,0.25,1014,2001,1320,LT,3,266900
15584,0.2,1014,2000,1205,LT,3,272000
15601,0.26,1014,1998,1492,LT,3,269500
15605,0.41,1014,1997,1484,LT,3,276700
15641,0.19,1014,1977,1316,UN,3,183600
15794,3.21,1014,2013,3178,AC,4,780800
15856,6.79,1014,1995,2591,AC,3,979000
15894,5,1014,1994,2589,AC,3,604500
15976,0.51,1014,1980,1118,UN,3,146100
15977,0.51,1014,1990,1092,UN,3,230600
16000,0.51,1014,1995,984,UN,3,214600
16039,0.51,1014,1994,1204,LT,3,225200
16039,0.51,1014,1994,1204,LT,3,265000
16040,0.51,1014,1996,1909,LT,3,270300
16046,0.51,1014,1994,1392,LT,3,256300
16059,0.6,1014,1996,1714,LT,3,259400
16062,0.23,1014,2017,1397,LT,3,283800
16079,0.68,1014,2019,1614,LT,NULL,370400
16079,0.68,1014,2019,1614,LT,NULL,377400
16103,0.18,1014,2007,1554,LT,3,255000
16125,0.09,1014,2008,1158,LT,3,225000
16142,0.09,1014,2016,1440,LT,3,291100
16145,0.1,1014,2013,1398,LT,3,255000
16145,0.1,1014,2013,1398,LT,3,273000
16162,0.09,1014,2007,1178,LT,3,227000
16168,0.51,1014,1997,1310,UN,3,272900
16372,7,0,1971,1539,AC,4,450000
16603,7.84,1014,1999,2850,AC,4,340500
16603,7.84,1014,1999,2850,AC,4,561000
16604,5.3,1014,2002,3739,AC,4,975600
16626,5,0,1992,1144,AC,3,325200
16626,5,0,1992,1144,AC,3,322900
16750,5,0,1979,1722,AC,4,458600
16896,7.1,0,1981,1527,AC,3,245000
17084,5.35,0,1978,1108,AC,3,234000
17084,5.35,0,1978,1108,AC,3,430000
17085,5.36,0,1989,1638,AC,4,358800
17122,10.68,0,2000,3224,AC,4,878100
17274,5.75,0,1979,2973,AC,3,759200
17333,5,0,1996,2385,AC,4,603500
17414,2.02,0,1968,960,AC,3,116800
17520,5,0,2010,768,AC,3,285000
17835,1.78,0,1997,2973,LT,4,713200
17854,1.81,0,2004,2704,LT,4,679300
18014,14.62,0,1994,8772,AC,6,1863700
18097,0.25,0,1986,1906,UN,3,324500
18140,0.21,0,1986,1835,UN,3,333100
18160,0.2,0,1987,1541,UN,3,280200
18187,0.2,0,1987,1332,UN,3,222200
18210,0.35,0,1986,1533,UN,3,296600
18224,0.38,0,1987,1770,UN,3,372800
18293,0.2,0,1993,2063,UN,3,400400
18330,0.19,0,1995,2097,LT,4,369200
18332,0.2,0,1995,1563,LT,4,315000
18349,0.19,0,2008,1610,LT,4,299700
18353,0.19,0,1997,1846,LT,4,373500
18372,0.19,0,1998,1937,LT,4,350800
18436,0.19,0,2006,2012,LT,4,400000
18456,0.19,0,2006,1851,LT,4,379000
18472,0.2,0,2021,2103,LT,3,417400
18472,0.2,0,2021,2103,LT,3,430000
18476,0.2,0,2016,2194,LT,4,431100
18478,0.3,0,2004,1542,LT,4,317400
18479,0.3,0,2004,2075,LT,4,382800
18559,1.44,0,1987,2879,AC,4,582800
18599,0.5,0,2018,2730,LT,5,727200
18622,0.5,0,2014,3107,LT,4,752600
18638,0.33,0,2008,2448,LT,4,580000
18645,0.4,0,2005,2794,LT,4,624300
18661,0.31,0,2005,2386,LT,4,585000
18664,0.5,0,2005,4521,LT,5,1014100
18705,0.38,0,2014,2262,LT,4,570600
18747,0.26,0,2013,2032,LT,4,421000
18767,0.25,0,2014,2099,LT,3,447000
18767,0.25,0,2014,2099,LT,3,444600
18804,0.18,0,2006,1833,LT,3,345100
18807,0.18,0,2005,1830,LT,3,381200
18814,0.18,0,2005,1807,LT,3,368700
18848,0.17,0,2005,1802,LT,3,363000
18851,0.2,0,2005,1521,LT,3,336000
18853,0.17,0,2005,1780,LT,3,417900
18867,0.16,0,2005,1459,LT,3,331400
18870,0.17,0,2005,1521,LT,3,389300
18893,0.27,0,2014,2304,LT,3,509600
18917,0.16,0,2007,1837,LT,3,333200
18934,0.22,0,2009,1527,LT,3,343000
18937,0.26,0,2014,2281,LT,3,455700
18950,0.22,0,2011,2030,LT,3,429000
18973,0.15,0,2013,2295,LT,3,470000
19165,5.01,0,2009,4200,AC,3,515000
19249,9.45,1022,1950,1340,AC,3,509300
19305,1.58,1022,1964,1836,AC,3,246000
19349,5,0,1988,480,AC,3,248300
