prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,in_subdivision,percent_good,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,A,B,C,D,E,F,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
21761,0.34,2842,4.0,SUWANNEE,728100,2006,100,2841.5,2006,2022,0,0.0,611.0,594.0,15,15,0,0,3.0,6253,612632.0,0.41143557122484725,-82.487029,29.661876,04338-010-031,True,0.85,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.12223547883179,499936.0548030675,506189.0548030675,-221910.94519693247,-112695.94519693247,221910.94519693247,112695.94519693247,0.6952191385840785
21780,0.2,2543,4.0,SUWANNEE,512000,2007,100,2543.0,2007,2022,0,0.0,251.0,484.0,14,14,0,0,3.0,1250,433950.0,0.24202092424991012,-82.486381,29.659861,04338-010-050,True,0.86,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.025497016178493,453838.649454973,455088.649454973,-56911.350545027,19888.649454972998,56911.350545027,19888.649454972998,0.8888450184667441
21783,0.29,3308,4.0,SUWANNEE,722500,2007,100,2722.5,2007,2022,0,585.0,575.5,676.0,14,14,0,0,4.0,8279,605846.0,0.3509303401623697,-82.485601,29.659898,04338-010-053,True,0.86,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.275903787584703,582977.4513090278,591256.4513090278,-131243.54869097215,-22868.54869097215,131243.54869097215,22868.54869097215,0.8183480294934642
21815,0.18,2683,4.0,SUWANNEE,602700,2009,100,2683.0,2009,2022,0,0.0,347.0,492.0,12,12,0,0,3.5,1224,511071.0,0.2178188318249191,-82.486968,29.65841,04338-010-085,True,0.88,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.099953832011106,488919.8416485707,490143.8416485707,-112556.15835142927,-22151.158351429272,112556.15835142927,22151.158351429272,0.8132467921827953
22038,3.09,2500,3.0,SUWANNEE,478800,1989,100,2500.0,1975,2022,0,0.0,0.0,400.0,30,46,0,0,2.5,7926,399054.0,3.739223279661111,-82.520669,29.650716,04360-010-000,True,0.7,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.81835857884848,368928.66289625503,376854.66289625503,-101945.33710374497,-30125.33710374497,101945.33710374497,30125.33710374497,0.7870815849963555
22111,2.92,1092,3.0,SUWANNEE,181300,1965,100,1092.0,1959,2022,0,0.0,24.0,0.0,30,62,0,0,1.0,2485,151620.0,3.5335054940486876,-82.509889,29.65247,04367-005-000,True,0.7,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.12307909624518,184071.4168324459,186556.4168324459,5256.416832445888,32451.416832445888,5256.416832445888,32451.416832445888,1.0289929224073133
36990,0.28,1494,3.0,GAINESVILLE,285400,1983,100,1494.0,1972,2022,0,0.0,245.0,594.0,30,49,0,0,2.0,616,241973.99999999997,0.3388292939498742,-82.3777,29.697022,06066-700-024,True,0.7,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.340632943698658,228806.72801116775,229422.72801116775,-55977.271988832246,-13167.271988832217,55977.271988832246,13167.271988832217,0.803863798217126
37038,0.17,2011,3.0,GAINESVILLE,373600,2004,100,2011.0,1997,2022,0,0.0,192.0,441.0,17,24,0,0,2.0,460,317100.0,0.20571778561242363,-82.374421,29.695292,06067-010-032,True,0.83,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.63477430522415,307052.58705041953,307512.58705041953,-66087.41294958047,-10047.412949580466,66087.41294958047,10047.412949580466,0.8231064963876326
37149,0.17,1862,3.0,GAINESVILLE,339600,1999,100,1862.0,1999,2022,0,0.0,440.0,420.0,22,22,0,0,2.0,1230,287430.0,0.20571778561242363,-82.378291,29.693037,06067-030-141,True,0.78,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.536917893503421,278428.86769595084,279658.86769595084,-59941.132304049155,-9001.132304049155,59941.132304049155,9001.132304049155,0.8234948989868989
37376,0.25,1356,3.0,GAINESVILLE,289200,1978,100,1356.0,1973,2022,0,0.0,36.0,546.0,30,48,0,0,2.0,626,245194.0,0.30252615531238763,-82.385858,29.699939,06071-010-003,True,0.7,A,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.266883973713437,212539.6788069787,213165.6788069787,-76034.32119302129,-32654.321193021286,76034.32119302129,32654.321193021286,0.737087409429387
