prop_id,legal_acreage,yr_blt,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,,
7797,0.2,2014,1365,LT,3,291600,NEWBERRY,,
7798,0.2,2009,1446,LT,3,310500,NEWBERRY,,
7804,0.2,2009,1626,LT,3,312100,NEWBERRY,,
7808,0.19,2011,1383,LT,3,286500,NEWBERRY,,
7812,0.18,2013,1298,LT,3,289000,NEWBERRY,,
7815,0.21,2016,1468,LT,3,313000,NEWBERRY,,
7817,0.21,2013,1638,LT,3,306800,NEWBERRY,,
7840,9.97,1982,2832,AC,4,549600,SUWANNEE,,
7904,0.45,2004,1651,LT,3,304400,NEWBERRY,,
7915,0.36,2004,1956,LT,3,399400,NEWBERRY,,
7939,0.23,2004,1696,LT,3,305800,NEWBERRY,,
7943,0.23,2004,1866,LT,3,340000,NEWBERRY,,
7948,0.24,2004,1811,LT,3,314600,NEWBERRY,,
7954,0.28,2004,1693,LT,3,287900,NEWBERRY,,
7959,0.29,2005,1652,LT,3,303800,NEWBERRY,,
7978,0.34,2005,1926,LT,3,286000,NEWBERRY,,
7984,0.24,2006,1876,LT,3,303500,NEWBERRY,,
7990,0.24,2008,1674,LT,3,315300,NEWBERRY,,
8017,0.23,2006,1555,LT,3,296100,NEWBERRY,,
8041,0.28,2007,1853,LT,3,291600,NEWBERRY,,
8074,0.23,2015,2052,LT,3,393300,NEWBERRY,,
8075,0.26,2011,1838,LT,3,340600,NEWBERRY,,
8082,0.24,2007,2200,LT,3,352800,NEWBERRY,,
8099,0.23,2010,1896,LT,3,357800,NEWBERRY,,
8101,0.23,2012,1652,LT,3,343700,NEWBERRY,,
8209,5.06,2004,1292,AC,3,331500,NEWBERRY,,
8265,1.73,1972,1924,AC,3,338100,SUWANNEE,,
8335,0.18,2013,3004,LT,2,389900,NEWBERRY,,
8362,0.16,2013,2348,LT,2,349600,NEWBERRY,,
8363,0.22,2008,3896,LT,2,424900,NEWBERRY,,
8368,0.18,2009,2200,LT,2,339300,NEWBERRY,,
8405,0.18,2011,3420,LT,2,416500,NEWBERRY,,
8407,0.18,2012,3002,LT,2,355300,NEWBERRY,,
8411,0.18,2012,3064,LT,2,398200,NEWBERRY,,
8421,0.19,2010,3440,LT,2,362100,NEWBERRY,,
8422,0.18,2015,3908,LT,2,482900,NEWBERRY,,
8426,0.18,2012,3920,LT,2,473000,NEWBERRY,,
8429,0.18,2013,3920,LT,2,387600,NEWBERRY,,
8506,0.36,1976,1628,UN,3,217800,NEWBERRY,,
8516,0.21,1976,1156,UN,3,212600,NEWBERRY,,
8586,0.54,1964,960,LT,3,190600,NEWBERRY,,
8595,0.22,1974,1516,UN,3,231300,NEWBERRY,,
8602,0.24,1974,1248,UN,3,239600,NEWBERRY,,
8619,0.26,1975,1236,UN,3,193800,NEWBERRY,,
8636,0.23,1975,1056,UN,3,203900,NEWBERRY,,
8719,0.72,1970,2290,UN,3,384900,NEWBERRY,,
8742,0.8,1975,1000,UN,3,146000,NEWBERRY,,
8748,0.26,1979,1248,UN,3,230400,NEWBERRY,,
8749,0.24,1979,1450,UN,3,154400,NEWBERRY,,
8750,0.23,1978,1219,UN,3,170000,NEWBERRY,,
8779,0.17,1977,1656,UN,3,225200,NEWBERRY,,
8815,0.46,1954,1949,UN,3,222200,NEWBERRY,,
8841,0.24,1975,1184,UN,3,194100,NEWBERRY,,
8894,0.23,1952,725,UN,3,78700,NEWBERRY,,
8948,0.44,1900,2240,UN,3,210200,NEWBERRY,,
9012,0.28,1970,1303,LT,3,215600,NEWBERRY,,
9031,0.28,1929,2028,LT,3,191300,NEWBERRY,,
9073,0.77,1956,820,LT,3,147900,NEWBERRY,,
9095,0.48,1956,1236,LT,3,259700,NEWBERRY,,
9103,0.24,1947,1380,LT,3,193600,NEWBERRY,,
9107,0.28,1997,1700,UN,4,339400,NEWBERRY,,
9116,0.42,1934,2162,UN,4,369300,NEWBERRY,,
9135,0.48,1957,520,LT,2,73500,NEWBERRY,,
9236,0.24,1983,936,UN,3,215600,NEWBERRY,,
9263,0.34,1976,1056,UN,3,176400,NEWBERRY,,
9350,0.14,2022,1318,LT,NULL,243600,NEWBERRY,,
9356,0.16,2015,1221,LT,3,228500,NEWBERRY,,
9396,0.24,1961,768,UN,3,166600,NEWBERRY,,
9460,0.44,1954,1356,UN,3,178900,NEWBERRY,,
9464,0.95,1990,2548,LT,4,461900,NEWBERRY,,
9470,0.28,1982,1452,UN,3,178500,NEWBERRY,,
9478,0.55,1993,1677,LT,3,307500,NEWBERRY,,
9500,0.24,1995,1025,LT,3,223600,NEWBERRY,,
9502,0.24,1994,1152,LT,3,202500,NEWBERRY,,
9503,0.35,1992,864,LT,3,183400,NEWBERRY,,
9513,0.24,2003,1629,LT,3,303600,NEWBERRY,,
9684,0.22,2007,2062,LT,3,275000,NEWBERRY,,
9705,0.27,2007,1633,LT,3,308700,NEWBERRY,,
9720,0.23,2010,1635,LT,3,292500,NEWBERRY,,
9721,0.23,2008,1907,LT,4,320000,NEWBERRY,,
9736,0.23,2011,1583,LT,3,329500,NEWBERRY,,
9793,0.31,2001,1643,LT,3,290300,NEWBERRY,,
9812,0.34,1996,1567,UN,3,291300,NEWBERRY,,
9815,0.33,1994,2214,LT,3,364700,NEWBERRY,,
9829,0.31,1985,1368,LT,3,250500,NEWBERRY,,
9831,0.32,1984,1408,LT,3,312800,NEWBERRY,,
9864,0.3,1997,1720,UN,4,323200,NEWBERRY,,
9868,0.3,1998,1580,LT,3,288400,NEWBERRY,,
9869,0.3,1998,1673,LT,4,314500,NEWBERRY,,
9874,0.3,1998,2294,LT,3,402700,NEWBERRY,,
9875,0.3,1997,1520,UN,3,292500,NEWBERRY,,
9882,0.3,2000,1768,LT,3,333100,NEWBERRY,,
9887,0.3,2004,1617,LT,3,344000,NEWBERRY,,
9893,0.32,1979,1963,LT,3,294000,NEWBERRY,,
9897,0.31,2004,1743,LT,3,320000,NEWBERRY,,
9922,0.32,2003,1747,LT,3,331700,NEWBERRY,,
9928,0.32,2004,1639,LT,3,263400,NEWBERRY,,
9928,0.32,2004,1639,LT,3,100,NEWBERRY,,
9956,0.3,2005,1776,LT,3,333200,NEWBERRY,,
9984,0.3,2007,1687,LT,3,304900,NEWBERRY,,
10001,0.4,2006,1681,LT,3,397700,NEWBERRY,,
10021,0.32,2006,1839,LT,3,319300,NEWBERRY,,
10032,0.28,2013,1360,LT,3,298000,NEWBERRY,,
10206,160,1940,1353,AC,3,1862000,NEWBERRY,,
10217,5,1995,2064,AC,3,203300,NEWBERRY,,
10281,5.03,2002,1800,AC,2,440300,NEWBERRY,,
10358,1,2006,1865,AC,NULL,260300,NEWBERRY,,
10490,0.82,1999,2565,AC,3,316100,SUWANNEE,,
10543,3.2,2020,3116,AC,NULL,730600,NEWBERRY,,
10552,2.99,2018,2485,AC,4,525500,NEWBERRY,,
10553,3.22,2018,2687,AC,NULL,633600,NEWBERRY,,
