prop_id,legal_acreage,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,actual_age,abs_subdv_cd
54506,0.03,1118,UN,3,175000,ST. JOHN'S,41,33300
54546,0.08,806,UN,3,102400,ST. JOHN'S,41,197500
54735,0.12,1075,UN,3,242300,ST. JOHN'S,37,153700
54758,0.13,1108,UN,3,227700,ST. JOHN'S,38,153700
54881,0.09,790,UN,3,126300,ST. JOHN'S,41,0
55252,0.03,1370,UN,3,183600,GAINESVILLE,36,169300
55318,0.03,1106,UN,3,169200,GAINESVILLE,36,169301
55339,0.03,1106,UN,3,181400,GAINESVILLE,35,169301
55378,0.03,1370,UN,3,135600,GAINESVILLE,36,169301
55445,0.03,1370,UN,3,189600,GAINESVILLE,35,169302
55647,0.39,2608,UN,4,392200,ST. JOHN'S,42,189100
55691,0.39,1914,UN,3,396000,ST. JOHN'S,38,189100
55836,0.03,1208,LT,3,166700,GAINESVILLE,37,121000
56480,0.01,1046,UN,3,168800,GAINESVILLE,38,130301
56550,0.01,1090,UN,3,172300,GAINESVILLE,41,130301
58149,1,2338,LT,4,487100,ST. JOHN'S,49,107900
58169,1.05,3781,LT,3,726400,ST. JOHN'S,21,107900
58256,1.02,2788,UN,3,635500,ST. JOHN'S,33,108200
58338,4,2278,AC,4,514500,ST. JOHN'S,48,0
58505,0.53,2778,LT,5,682700,ST. JOHN'S,16,232102
59165,0.26,2230,LT,4,412400,ST. JOHN'S,25,185301
59171,0.21,2580,LT,3,445400,ST. JOHN'S,23,185301
59172,0.21,1878,LT,3,373200,ST. JOHN'S,26,185301
59251,0.2,2267,LT,4,363400,ST. JOHN'S,19,226400
59298,0.26,1853,LT,4,362700,ST. JOHN'S,24,185303
59318,1.15,2960,UN,5,783000,ST. JOHN'S,35,82300
59501,0.09,1587,UN,4,198100,ST. JOHN'S,41,80100
59543,0.1,1254,UN,4,224600,ST. JOHN'S,39,81900
59566,0.1,1131,UN,3,283200,ST. JOHN'S,37,82000
59610,0.12,1275,UN,3,289500,ST. JOHN'S,38,82000
59649,0.03,1152,UN,3,216300,ST. JOHN'S,38,82100
59686,0.04,992,UN,3,161200,ST. JOHN'S,38,82100
59706,0.1,1154,UN,3,285300,ST. JOHN'S,32,82200
59833,0.91,3745,UN,5,749800,ST. JOHN'S,30,82700
60208,0.03,1400,UN,3,194700,ST. JOHN'S,27,78300
60211,0.03,1400,UN,3,197500,ST. JOHN'S,27,78300
60247,0.03,1203,UN,3,198200,ST. JOHN'S,27,78300
60629,0.26,2316,LT,4,554400,ST. JOHN'S,30,78900
60669,0.21,1816,LT,4,405300,ST. JOHN'S,27,79001
60771,0.21,1804,LT,4,405900,ST. JOHN'S,31,79200
60808,0.1,1806,LT,3,360100,ST. JOHN'S,30,79300
60835,0.48,3038,UN,5,721700,ST. JOHN'S,30,79400
60954,0.82,4083,LT,5,1065800,ST. JOHN'S,27,79800
61146,0.08,1452,LT,4,306300,ST. JOHN'S,25,80400
61164,0.08,2145,LT,3,393900,ST. JOHN'S,24,80400
61183,0.23,2231,LT,4,465300,ST. JOHN'S,26,80500
61186,0.15,2373,LT,4,535900,ST. JOHN'S,28,80500
61189,0.21,1998,LT,4,442700,ST. JOHN'S,26,80500
61203,0.3,2167,LT,4,489600,ST. JOHN'S,26,81000
61272,0.19,2844,LT,4,525300,ST. JOHN'S,26,80700
61415,0.29,3342,LT,5,795300,ST. JOHN'S,22,81300
61578,0.45,3448,LT,5,838800,ST. JOHN'S,22,81600
61604,0.28,2997,LT,4,511000,ST. JOHN'S,21,81600
61665,0.12,2233,LT,4,449800,ST. JOHN'S,21,81800
61747,0.19,2054,LT,4,450700,ST. JOHN'S,19,232500
61754,0.14,1907,LT,4,373300,ST. JOHN'S,21,232500
61787,0.25,2412,LT,4,533600,ST. JOHN'S,19,81801
61790,0.21,2751,LT,4,695700,ST. JOHN'S,19,81801
61920,0.15,2165,LT,4,555700,ST. JOHN'S,17,228604
61936,0.14,1855,LT,4,430100,ST. JOHN'S,12,228605
62394,0.12,1110,UN,3,170500,ST. JOHN'S,39,234719
62480,0.06,788,UN,3,122400,ST. JOHN'S,40,234803
62518,0.15,1151,UN,3,161900,ST. JOHN'S,39,234811
63015,0.14,864,LT,3,200400,ST. JOHN'S,37,147200
63351,0.05,995,LT,3,135900,ST. JOHN'S,31,89300
63576,0.1,3184,LT,4,566400,ST. JOHN'S,6,246500
63832,0.18,2664,LT,4,524500,ST. JOHN'S,17,241501
64226,0.19,1795,LT,4,347300,ST. JOHN'S,23,125704
64290,0.19,1698,LT,4,343400,ST. JOHN'S,21,125706
64352,0.24,1882,LT,4,352600,ST. JOHN'S,21,230700
64685,1.09,1496,LT,3,432300,ST. JOHN'S,7,0
64788,0.15,1867,LT,4,357700,ST. JOHN'S,15,246100
64828,0.14,2161,LT,4,375600,ST. JOHN'S,15,246100
64870,0.15,2176,LT,4,556000,ST. JOHN'S,10,246100
64970,0.17,2664,LT,4,450000,ST. JOHN'S,20,239200
64977,0.22,1817,LT,4,380200,ST. JOHN'S,20,239200
65159,0.22,2437,LT,4,502400,ST. JOHN'S,10,239250
65179,0.2,2445,LT,4,485500,ST. JOHN'S,16,239251
65332,0.13,1680,LT,4,369000,ST. JOHN'S,13,248400
65537,0.54,1512,UN,3,439600,ST. JOHN'S,47,120100
65683,0.42,2446,UN,3,459000,ST. JOHN'S,54,42300
65684,0.43,2152,UN,3,260700,ST. JOHN'S,51,42300
65704,0.54,2150,UN,3,315300,ST. JOHN'S,52,42300
65786,1.02,1873,UN,4,367000,ST. JOHN'S,41,161400
66202,0.6,2001,UN,3,420800,ST. JOHN'S,41,36600
66304,1.28,2658,UN,4,507800,ST. JOHN'S,31,161600
66307,1.01,1656,UN,3,343400,ST. JOHN'S,39,161600
66324,1.07,5818,UN,4,920700,ST. JOHN'S,43,161700
66826,0.46,4133,UN,4,458600,ST. JOHN'S,43,42400
66871,0.24,2155,LT,4,499600,ST. JOHN'S,17,173400
66888,0.22,2701,LT,4,772600,ST. JOHN'S,6,173400
67247,0.23,2185,LT,3,392000,GAINESVILLE,17,234302
67827,0.09,1343,UN,3,272600,GAINESVILLE,27,175800
67931,0.06,908,UN,3,143700,GAINESVILLE,36,175600
67973,0.09,1100,UN,3,153900,GAINESVILLE,38,175600
69361,3.15,2796,AC,5,820300,ST. JOHN'S,37,195700
69468,1.06,1973,LT,3,332700,ST. JOHN'S,34,107000
69493,1.05,1604,LT,3,397700,ST. JOHN'S,22,107100
69510,1,2046,LT,3,417600,ST. JOHN'S,21,107100
69530,1.8,3721,LT,3,431200,ST. JOHN'S,40,125100
69594,1.81,2153,LT,4,470300,ST. JOHN'S,30,125100
69676,1.55,2569,LT,3,515500,ST. JOHN'S,18,231400
69912,1,1666,LT,3,374900,ST. JOHN'S,18,227401
69945,1.03,1625,LT,3,370400,ST. JOHN'S,19,227402
70035,1.07,1600,LT,3,413700,ST. JOHN'S,17,227407
72052,0.14,1334,UN,3,245000,GAINESVILLE,33,92800
72281,0.1,1173,LT,3,193100,GAINESVILLE,7,28000
72381,2.8,1249,AC,3,186800,ST. JOHN'S,49,56000
73132,0.12,1439,LT,3,292400,GAINESVILLE,18,236400
73261,0.05,1351,LT,3,267700,GAINESVILLE,5,236402
73401,0.24,1775,UN,3,291200,GAINESVILLE,32,163700
73403,0.21,1951,UN,3,343400,GAINESVILLE,32,163700
73423,0.21,1963,UN,3,317500,GAINESVILLE,31,163700
73566,0.18,1537,UN,3,241100,GAINESVILLE,41,206900
73567,0.18,1195,UN,3,224400,GAINESVILLE,45,206900
73612,0.21,1644,UN,3,213500,GAINESVILLE,49,206900
73672,0.23,2530,UN,3,375400,GAINESVILLE,63,150500
73841,0.17,1384,LT,3,240100,GAINESVILLE,40,162300
73882,0.25,1522,UN,3,231900,GAINESVILLE,50,89500
73984,0.03,1037,UN,3,187400,GAINESVILLE,37,34600
74691,0.44,1548,UN,3,153200,GAINESVILLE,62,119800
75547,0.21,1053,UN,3,227900,GAINESVILLE,64,95700
75654,0.19,1367,UN,3,136300,GAINESVILLE,60,95800
75756,0.19,1642,UN,3,237700,GAINESVILLE,61,95900
75839,0.23,1520,UN,3,127400,GAINESVILLE,61,95900
76208,0.22,1173,UN,3,248500,GAINESVILLE,51,96100
76441,0.23,1120,UN,3,242300,GAINESVILLE,69,0
76444,0.77,2754,UN,3,384700,GAINESVILLE,98,0
76504,0.21,1340,UN,3,214300,GAINESVILLE,58,0
76590,0.32,1074,UN,3,209200,GAINESVILLE,77,0
76626,0.45,1584,UN,3,284200,GAINESVILLE,78,156300
76855,0.23,806,UN,3,174800,GAINESVILLE,73,189500
76875,0.51,1750,UN,3,353000,GAINESVILLE,68,44600
76964,0.18,1220,UN,3,242000,GAINESVILLE,24,174400
77294,0.15,857,UN,3,211900,GAINESVILLE,80,188100
77456,0.15,720,UN,3,152700,GAINESVILLE,58,166400
77569,0.15,1410,LT,3,300100,GAINESVILLE,9,244100
77648,0.27,1334,UN,3,244000,GAINESVILLE,59,75400
77835,0.17,1152,UN,3,221200,GAINESVILLE,42,150100
78524,0.02,1118,UN,3,174100,GAINESVILLE,36,0
78548,0.02,1385,UN,3,119200,GAINESVILLE,35,0
78688,0.36,2042,UN,3,398100,GAINESVILLE,44,62000
78750,0.31,2138,UN,3,425300,GAINESVILLE,55,61800
78900,0.06,1805,UN,4,244500,GAINESVILLE,45,0
78919,0.06,2044,UN,3,298600,GAINESVILLE,44,0
79122,0.41,2930,UN,3,400400,GAINESVILLE,57,61700
79211,0.31,1692,UN,3,386300,GAINESVILLE,52,90200
79275,0.31,1946,LT,3,466000,GAINESVILLE,72,98500
79481,0.68,1908,LT,3,377500,GAINESVILLE,71,60000
79498,0.35,2088,LT,3,455200,GAINESVILLE,74,60200
79537,0.25,1656,LT,3,384500,GAINESVILLE,63,118400
79809,0.18,1386,UN,3,262100,GAINESVILLE,32,66900
80022,0.27,1692,SF,3,461500,GAINESVILLE,82,183000
80058,0.33,1468,UN,3,353300,GAINESVILLE,73,114100
80167,0.25,980,UN,3,264600,GAINESVILLE,73,46000
80586,0.16,1240,UN,3,289100,GAINESVILLE,96,244200
81087,0.34,1878,UN,3,346500,GAINESVILLE,72,127100
81100,0.28,1418,UN,3,154700,GAINESVILLE,71,85300
81140,0.28,3547,UN,3,594600,GAINESVILLE,14,85300
81190,0.27,1908,UN,3,318500,GAINESVILLE,69,46800
81478,0.23,841,UN,3,175000,GAINESVILLE,75,67200
81874,0.21,1524,UN,3,223100,GAINESVILLE,68,32100
82189,0.23,1210,UN,3,242800,GAINESVILLE,63,32500
82266,0.23,1008,UN,3,172200,GAINESVILLE,60,32500
82268,0.25,1412,UN,3,243700,GAINESVILLE,63,32500
82415,0.09,1209,UN,3,227900,GAINESVILLE,7,157300
82534,0.11,840,UN,3,171600,GAINESVILLE,71,175000
83414,0.38,1296,UN,3,144600,ST. JOHN'S,68,61000
83433,0.26,1123,UN,3,120900,ST. JOHN'S,69,75000
84246,0.23,1452,UN,3,238300,GAINESVILLE,40,211701
84309,0.29,980,UN,3,80600,GAINESVILLE,69,85900
84854,0.14,768,UN,3,123900,GAINESVILLE,69,136600
85683,0.15,3055,SF,4,592000,GAINESVILLE,97,96700
87154,0.19,1350,UN,3,286900,GAINESVILLE,14,10605
88183,0.13,1064,SF,3,251800,GAINESVILLE,84,25200
88432,0.11,1024,SF,3,299000,GAINESVILLE,93,26300
88611,0.12,832,SF,3,254300,GAINESVILLE,94,46700
89865,0.27,1965,UN,3,451200,GAINESVILLE,70,257400
90945,1.01,2024,UN,3,361500,GAINESVILLE,66,38900
91943,0.25,1050,UN,3,129400,GAINESVILLE,62,20200
92152,1.02,1288,UN,3,192300,ST. JOHN'S,67,0
92232,0.18,1191,UN,3,191500,GAINESVILLE,62,115500
92301,0.34,1580,UN,3,178200,GAINESVILLE,60,115500
92531,0.15,1017,UN,3,171800,GAINESVILLE,54,115900
92859,0.31,1056,UN,3,178500,ST. JOHN'S,53,108801
92945,0.37,1073,UN,3,175800,ST. JOHN'S,56,108801
92966,0.26,1275,UN,3,165200,ST. JOHN'S,59,108800
92986,0.26,1154,UN,3,203300,ST. JOHN'S,55,108801
93214,0.88,951,UN,3,114100,ST. JOHN'S,74,0
