living_area,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
2837,2,33013.189314168005,2173927831.3189754,0.5316729731094219,0.9957996028965118,5.884665144341985,"{'PRB': 0.5680733119619628, 'Sig': nan}",1.0672142820848534,0.06253819358953105
2838,1,36358.443630886555,1321936423.260355,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8938022387852742,0.0
2839,1,82822.22757121001,6859521379.8573,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8326395065304028,0.0
2840,2,41820.378345189325,2543332881.871481,-1.8483832097597168,1.0042442042422497,11.806184372573407,"{'PRB': -2.285105966303604, 'Sig': nan}",1.0845085051168348,0.1285824976298937
2841,1,32973.13951293507,1087227929.3394802,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0939973791201105,0.0
2842,2,123039.74674032166,16041426601.12025,-0.7375279504480778,1.0121945221486726,23.87563171386565,"{'PRB': -3.2769459841842914, 'Sig': nan}",0.9437568382826067,0.22807567313519334
2843,1,28904.67684201355,835480343.3412343,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9400910381177278,0.0
2844,1,13409.543906628911,179815867.78380856,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0312254732068535,0.0
2846,1,22651.01472449617,513068468.0493423,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.047542020696178,0.0
2847,1,67712.13057330559,4584932626.776386,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8620751982156328,0.0
2848,1,42567.45982589887,1811988636.0295143,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1011095056547402,0.0
2849,1,82780.09472392639,6852544082.502226,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8336058747192499,0.0
2850,1,105191.66149527323,11065285648.13615,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8060710308888509,0.0
2852,1,49738.58675803401,2473927012.686476,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1478548686186945,0.0
2855,2,63998.087650495145,6072835535.979691,0.069747066122538,1.0212323157959777,7.38411789004296,"{'PRB': -0.17687197666076368, 'Sig': nan}",0.8561453087539106,0.0645610599864816
2857,1,96211.43377041718,9256639988.15937,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2046317867269698,0.0
2858,1,137094.16437041777,18794809904.423126,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2642270556066866,0.0
2859,1,103594.17071733496,10731752206.612339,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.719228205656077,0.0
2860,2,105301.46176234781,20977142294.336617,-2.121720880709198,1.0094987485999518,25.611122367287756,"{'PRB': -4.829842673492548, 'Sig': nan}",0.7785278719077737,0.2012836788178371
2864,1,23168.34962409106,536772424.3041204,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9618431615243062,0.0
2866,1,70617.5238289207,4986834671.728184,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7815204120295217,0.0
2867,1,48906.61058375961,2391856558.7915077,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0900861054008792,0.0
2868,1,122671.81767791873,15048374852.404535,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.5508909203521175,0.0
2869,2,69223.91402993974,4954372982.269834,0.5537656667507211,0.9871463281704185,6.725373605684619,"{'PRB': 0.23773633444932293, 'Sig': nan}",0.8553029718073103,0.056782947286365515
2870,1,44141.59590933286,1948480489.422831,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.086203884457188,0.0
2872,1,9951.758895393927,99037505.11205214,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0170050353290392,0.0
2875,1,1255.6914051763015,1576760.9050336345,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0027476095972934,0.0
2876,1,146133.91082875087,21355119894.105312,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2865876042308961,0.0
2878,1,26101.662298131618,681296774.7257055,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9608664078213901,0.0
2879,1,14317.433325446327,204988897.02860108,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9712245614948305,0.0
2880,1,230320.4340427525,53047502337.6419,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.6741844824404891,0.0
2881,2,55714.09252949347,3385446876.2725506,-20.246668353535615,1.0017906516321375,3.305346527198534,"{'PRB': -0.42325483717817847, 'Sig': nan}",1.1024874075641238,0.036506282427204995
2884,1,35967.95085234288,1293693488.516553,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0982322806497204,0.0
2889,2,71271.36152792885,6169293610.290039,-0.7319161937181999,1.0061807775389175,18.679873858295004,"{'PRB': -3.9360142548121604, 'Sig': nan}",1.0936786606294713,0.2055605134384451
2890,2,52597.02611674959,2847575407.72297,-15.641533450738137,1.012710184237573,10.061735480750029,"{'PRB': -0.5562083379541946, 'Sig': nan}",1.017106443935033,0.10363930189793286
2891,2,20090.569039288413,680870624.451946,-13.612752528914498,1.0014560356014783,4.6614100636544835,"{'PRB': -1.0355727367546126, 'Sig': nan}",1.0391523045900852,0.04850967922991484
