legal_acreage,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
1.1,19,50679.516440298125,3986247171.4120774,0.9232206545406192,0.9647137360587562,16.265563189922783,"{'PRB': 0.1542452251821584, 'Sig': 0.049483394070534}",0.98182800921336,0.15977883306892252
1.11,7,41544.23414377893,2727240905.534114,0.852014517371655,1.0098529740753073,17.3456827983088,"{'PRB': -0.030035281128528997, 'Sig': 0.8219697895279792}",0.9982169770419187,0.17056864256122387
1.12,7,25238.624856127317,931901177.2922026,0.9880085091076203,0.9469890131066349,10.200333145083773,"{'PRB': 0.10923559240249422, 'Sig': 0.03341022425895733}",0.9753254974201904,0.10126004907956963
1.13,6,44011.23012780435,3673079517.681127,0.8259438618155274,1.022561381274142,14.97030352933078,"{'PRB': -0.07773859143083414, 'Sig': 0.667984844417745}",0.9979938822549553,0.1441475258319665
1.14,8,54141.365027361586,5206379705.172148,0.91374670389862,0.9867787013738787,7.88527702775586,"{'PRB': 0.07630073632360285, 'Sig': 0.29858663424937315}",1.0877046288704422,0.08432256489318944
1.15,12,49545.538730670385,3044616411.6493187,0.8828542586163943,0.9541079287845698,13.769721084610914,"{'PRB': 0.25242881476579004, 'Sig': 0.004129063741760596}",0.9046096307857892,0.11797669490341116
1.16,2,28248.599650181757,812471787.6402171,0.9240264859164191,1.0099012276552013,2.6266615510344584,"{'PRB': -0.046421804652419865, 'Sig': nan}",1.105856336324131,0.029334705177371023
1.17,4,52431.9231023122,4749203399.943485,0.839338216099444,0.9753973260354598,13.624895588525968,"{'PRB': 0.1033251729028799, 'Sig': 0.7190690699187858}",0.9749361780396079,0.1357125009728484
1.18,3,36030.45050163852,1767410549.2395232,-492.259268802392,1.010299704350808,8.199976445080956,"{'PRB': -0.674529173991673, 'Sig': 0.005281147096277123}",0.9269842066966056,0.07598208019853973
1.19,6,40141.340824651226,1892550496.9982176,0.9790827739948463,1.0094140973429646,11.76123258336519,"{'PRB': -0.028666284227687792, 'Sig': 0.7473112215904075}",0.9508201710325753,0.10808945182282799
1.2,6,72453.58292332107,7463317896.800014,0.7535996956395983,0.992236437040058,14.523162576835677,"{'PRB': 0.06109829772042772, 'Sig': 0.7014328093219266}",0.9148340747030395,0.12091130038253343
1.21,4,15151.129784136574,299653473.8172296,0.949237891687648,1.0081936513352225,4.491883847936536,"{'PRB': -0.09038468505470833, 'Sig': 0.34594513861666143}",1.0061941644641585,0.04624907130105638
1.22,4,25619.437102611693,854905058.7825468,0.9688979874156403,0.9805323966185285,7.449499467341673,"{'PRB': 0.08500532173502837, 'Sig': 0.299235826463242}",0.9814218347872548,0.07191914420083292
1.23,3,15264.047824951616,236243709.47560704,0.9757406737691613,0.9874374539052813,3.515538366888086,"{'PRB': 0.1107440095696138, 'Sig': 0.2793765324156276}",0.9823090216602934,0.032959659032516596
1.24,7,80334.81366711305,11066422156.600912,0.7669975885404154,1.005520438842696,11.939750575085553,"{'PRB': -0.06830361655162229, 'Sig': 0.5515321245248963}",1.1036136377800152,0.1274007551989461
1.25,12,41380.49900181537,2054361763.2285626,0.9455538582916104,1.0062111538567413,12.411790920833926,"{'PRB': -0.01372687366204648, 'Sig': 0.8463756932084271}",0.9593352651053554,0.11622135932721024
1.26,4,29239.723326894207,1040954435.557646,0.9673973908799581,1.0215208128866409,5.164816096644773,"{'PRB': -0.07141922901483055, 'Sig': 0.2369090820134965}",1.020551075855357,0.054745975154143006
1.27,7,28375.77671873032,2316862809.3003206,0.8353468252311873,1.0064822334867376,7.700903454953571,"{'PRB': -0.0681500690474367, 'Sig': 0.5868650150303437}",0.9562059535745534,0.07599847531685143
1.28,3,25949.880131055408,708867982.355943,0.9688541864298116,0.9836294085053319,3.7964567028396092,"{'PRB': 0.08999973637228079, 'Sig': 0.12757792336901838}",0.9385621649519256,0.03594954843493514
1.29,5,28153.32392183209,1683370012.341411,0.9576584855283344,0.8726118240679926,19.212977935492667,"{'PRB': 0.26501923077154743, 'Sig': 0.10689033458676113}",0.9217148084649341,0.1867948921061718
1.3,6,63938.27243902266,5107789068.632318,0.7222353743332581,1.0373070112627107,10.835187123713668,"{'PRB': -0.2097051401921742, 'Sig': 0.06217063795223204}",0.914077962247266,0.09492359715703558
1.31,2,28719.50709795981,848281917.7316022,0.7382214059075098,0.9997387058835385,0.18049710460218996,"{'PRB': 0.008579451275892599, 'Sig': nan}",1.0798503826871135,0.0019485893867697834
