legal_acreage,hood_cd,map_id,township_code,range_code,market_area_cd,city_id,yr_blt,living_area,land_type_cd,condition_cd,land_total_acres,sl_price,CENTROID_X,CENTROID_Y,Coord_Ratio
0.28,215104.01,10-17B,10,17,2,1022,1997,1700,UN,3,0.28,339400,-82.61210489,29.64414612,-2.786793202
0.24,215104.03,10-17C,10,17,2,1022,2003,1344,UN,3,0.24,228400,-82.61507362,29.65168202,-2.786185066
0.17,215104.05,10-17C,10,17,2,1022,1975,1092,UN,3,0.17,201500,-82.61502386,29.65212526,-2.786141739
0.29,215104.07,10-17C,10,17,2,1022,2007,1460,LT,3,0.29,251600,-82.61625151,29.65110518,-2.786278994
0.16,215104.07,10-17C,10,17,2,1022,2015,1221,LT,3,0.16,228500,-82.61635244,29.65087553,-2.786303978
0.24,215104.03,10-17C,10,17,2,1022,1961,768,UN,3,0.24,166600,-82.6097144,29.6527019,-2.785908504
0.24,215105.01,10-17D,10,17,2,1022,1994,1152,LT,3,0.24,202500,-82.62720968,29.64950849,-2.786798632
0.25,215109.01,10-17E,10,17,2,1022,2008,1477,LT,3,0.25,305300,-82.60746363,29.63703488,-2.787305274
0.27,215109.01,10-17E,10,17,2,1022,2007,1633,LT,3,0.27,308700,-82.6070911,29.63587427,-2.787401861
0.2,215109.01,10-17E,10,17,2,1022,2007,1501,LT,3,0.2,304700,-82.60829181,29.6353438,-2.787492272
0.2,215109.01,10-17E,10,17,2,1022,2007,1501,LT,3,0.2,320000,-82.60829181,29.6353438,-2.787492272
0.23,215109.01,10-17E,10,17,2,1022,2010,1635,LT,3,0.23,292500,-82.60799118,29.63451954,-2.787559659
0.35,215109.01,10-17E,10,17,2,1022,2009,1252,LT,3,0.35,265100,-82.60676514,29.63260096,-2.787698766
0.35,215109.01,10-17E,10,17,2,1022,2009,1252,LT,3,0.35,251900,-82.60676514,29.63260096,-2.787698766
6.64,215100.9,10-17E,10,17,2,1022,2009,1752,AC,3,6.64,488000,-82.61162957,29.62989425,-2.788117597
0.34,215109.01,10-17E,10,17,2,1022,2002,2636,LT,3,0.34,385400,-82.61208481,29.63775322,-2.787393639
0.38,215109.01,10-17E,10,17,2,1022,2000,1720,LT,3,0.38,317600,-82.61132208,29.6374323,-2.787398086
0.31,215109.01,10-17E,10,17,2,1022,1985,1368,LT,3,0.31,250500,-82.61300627,29.63653979,-2.787538858
0.32,215109.01,10-17E,10,17,2,1022,1984,1408,LT,3,0.32,312800,-82.61231263,29.63655602,-2.787513926
0.41,215109.01,10-17E,10,17,2,1022,1990,1647,LT,3,0.41,247500,-82.61460389,29.63603579,-2.787640171
0.3,215109.01,10-17E,10,17,2,1022,1998,1673,LT,4,0.3,314500,-82.61077296,29.63611261,-2.78750368
0.3,215109.01,10-17E,10,17,2,1022,1998,2294,LT,3,0.3,402700,-82.6094315,29.63580326,-2.787487513
0.31,215109.01,10-17E,10,17,2,1022,2004,1743,LT,3,0.31,320000,-82.6129894,29.63489221,-2.787693264
0.31,215109.01,10-17E,10,17,2,1022,2004,1743,LT,3,0.31,245000,-82.6129894,29.63489221,-2.787693264
0.32,215109.01,10-17E,10,17,2,1022,2005,1591,LT,3,0.32,308100,-82.61383165,29.633222,-2.787878809
0.32,215109.01,10-17E,10,17,2,1022,2004,1504,LT,3,0.32,345000,-82.61157869,29.63279874,-2.7878426
0.31,215109.01,10-17E,10,17,2,1022,2006,1663,LT,3,0.31,288700,-82.60906225,29.63251291,-2.787784569
4.6,215100.9,10-17G,10,17,2,0,1997,1664,AC,3,4.6,398500,-82.55888201,29.62483734,-2.786813006
160,215100.9,10-17E,10,17,2,1022,1940,1353,AC,3,160,1862000,-82.61465657,29.61703204,-2.789430637
5.07,215100.9,10-17D,10,17,2,0,1990,1772,AC,3,5.07,224600,-82.6492555,29.62077232,-2.790246473
0.82,215100.9,10-17D,10,17,2,0,1999,2565,AC,3,0.82,316100,-82.60595767,29.59757676,-2.790970299
3.22,215109.05,10-17H,10,17,2,1022,2018,2687,AC,NULL,3.22,633600,-82.57214376,29.60032569,-2.789568758
10.67,215100.9,10-17H,10,17,2,1022,1982,1026,AC,5,10.67,523100,-82.56158851,29.57570924,-2.791533682
5,232205.11,7-18A,7,18,2,0,2003,2400,AC,3,5,413700,-82.52913815,29.90976845,-2.75927038
5.5,232200.11,7-18B,7,18,2,0,2016,1756,AC,3,5.5,367000,-82.52541007,29.88173902,-2.761733848
1.11,232218.01,7-18B,7,18,2,0,1986,1566,AC,3,1.11,186400,-82.55266002,29.87849209,-2.762945994
5.01,232219.11,7-18B,7,18,2,0,1995,1847,AC,3,5.01,509500,-82.55071035,29.8695117,-2.763711412
2.84,232200,7-18B,7,18,2,0,2007,1696,AC,4,2.84,354100,-82.55647437,29.86572702,-2.764254636
21.69,232200,7-18C,7,18,2,0,2004,1665,AC,3,21.69,615000,-82.49439553,29.86346075,-2.762385653
1.32,232200,7-18C,7,18,2,0,2005,1947,AC,3,1.32,391100,-82.50183285,29.85306942,-2.763596322
