prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,actual_year_built,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_F,High_Springs_Main,Lugano,Magnolia_Heights,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1974,built_pre_1994_with_effective_le_1994,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1965,0.21,1733,1.0,HIGH SPRINGS,322000,4102,2015,100,1733.0,2015,0.0,72.0,484.0,10,269597.99999999994,0.27486482009162805,-82.58751,29.831421,00236-100-013,High_Springs_Main,True,False,False,0.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.533893951972335,277588.1868050162,281690.1868050162,-40309.81319498381,7990.186805016245,40309.81319498381,7990.186805016245,0.8748142447360752
1966,0.21,1556,1.0,HIGH SPRINGS,317600,1164,2014,100,1556.0,2014,0.0,212.0,484.0,11,268796.0,0.27486482009162805,-82.587514,29.831654,00236-100-014,High_Springs_Main,True,False,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.48164548234324,263457.0096298962,264621.0096298962,-52978.9903701038,-5338.990370103798,52978.9903701038,5338.990370103798,0.8331895769203281
1970,0.21,1441,1.0,HIGH SPRINGS,316800,671,2017,100,2882.0,2017,0.0,376.0,800.0,8,268609.0,0.27486482009162805,-82.58753,29.832589,00236-100-018,High_Springs_Main,True,False,False,0.92,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.486418873353802,264717.59920122614,265388.59920122614,-51411.40079877386,-3891.4007987738587,51411.40079877386,3891.4007987738587,0.8377165378826583
2026,0.23,1847,1.0,HIGH SPRINGS,329400,77,2016,100,1847.0,2016,0.0,239.0,462.0,9,279913.0,0.30104242200511644,-82.586954,29.830013,00236-100-074,High_Springs_Main,True,False,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.61820986955607,302008.32722092065,302085.32722092065,-27314.672779079352,22095.327220920648,27314.672779079352,22095.327220920648,0.9170774961169419
2030,0.25,1644,1.0,HIGH SPRINGS,320300,1216,2015,100,1644.0,2015,0.0,290.0,484.0,10,271039.0,0.32722002391860483,-82.58698,29.831004,00236-100-078,High_Springs_Main,True,False,False,0.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.54721740655964,281311.3681482834,282527.3681482834,-37772.63185171661,10272.368148283393,37772.63185171661,10272.368148283393,0.8820710838223021
2033,0.2,1484,1.0,HIGH SPRINGS,321500,943,2009,100,1483.5,2009,0.0,397.5,444.0,16,272332.0,0.26177601913488385,-82.586658,29.830507,00236-100-081,High_Springs_Main,True,False,False,0.84,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.409525567735978,245125.49128916793,246068.49128916793,-75431.50871083207,-27206.508710832073,75431.50871083207,27206.508710832073,0.7653763337143636
2043,0.2,1394,1.0,HIGH SPRINGS,276900,1535,2016,100,1394.0,2016,0.0,188.0,400.0,9,233829.99999999997,0.26177601913488385,-82.58615,29.830255,00236-100-091,High_Springs_Main,True,False,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.42214535938383,248238.52552371065,249773.52552371065,-27126.474476289353,14408.525523710676,27126.474476289353,14408.525523710676,0.9020351228736391
2047,0.2,1772,1.0,HIGH SPRINGS,331700,1180,2014,100,1772.0,2014,0.0,216.0,484.0,11,280765.0,0.26177601913488385,-82.585838,29.830497,00236-100-095,High_Springs_Main,True,False,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.559884980333148,284897.5669208421,286077.5669208421,-45622.4330791579,4132.566920842102,45622.4330791579,4132.566920842102,0.8624587486308173
2052,0.21,1912,1.0,HIGH SPRINGS,332300,1480,2017,100,1912.0,2017,0.0,226.0,462.0,8,280975.0,0.27486482009162805,-82.585858,29.831693,00236-100-100,High_Springs_Main,True,False,False,0.92,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.641268726095252,309053.205176591,310533.205176591,-21766.794823409,28078.205176591,21766.794823409,28078.205176591,0.9344965548498074
2060,0.2,1441,1.0,HIGH SPRINGS,302900,4164,2017,100,1441.0,2017,0.0,188.0,400.0,8,253301.0,0.26177601913488385,-82.587011,29.832802,00236-100-108,High_Springs_Main,True,False,False,0.92,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.452743422622131,255951.54357163643,260115.54357163643,-42784.45642836357,2650.54357163643,42784.45642836357,2650.54357163643,0.8587505565257063
