Assessment_Val,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
354065.0,1,7630.507111996645,58224638.78623138,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9789035059547093,0.0
354077.0,1,21181.79278182477,448668345.45216393,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0636290109395972,0.0
354154.0,1,65281.24187378929,4261640540.58418,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2259861480093857,0.0
354158.0,1,16747.85026614915,280490488.5373522,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0496364744195155,0.0
354240.99999999994,1,21574.71746811521,465468433.8289956,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0648539350123267,0.0
354329.0,1,54762.2121002645,2998899874.1143556,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1828046843383497,0.0
354334.0,1,44078.20690509223,1942888323.9681203,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8893653202860013,0.0
354381.0,1,8755.573722294881,76660071.20654064,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.97588903361469,0.0
354549.0,1,18882.340106737276,356542767.9064991,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9494355773638598,0.0
354599.0,1,3216.2402867136407,10344201.581879841,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.991011449696395,0.0
354681.0,1,69935.90011438477,4891030124.809204,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2456087923636918,0.0
354735.0,1,3129.123386478401,9791413.167806055,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.991256113194954,0.0
354740.99999999994,1,32536.606731885346,1058630777.6253668,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1009812634826825,0.0
354750.99999999994,1,73075.18898461928,5339983245.137823,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8291942128226133,0.0
354875.0,1,7904.540840660222,62481765.901665404,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0227815960465678,0.0
354986.0,1,68425.37328649906,4682031709.396739,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2387814895272047,0.0
355037.0,1,14564.845805526711,212134733.33876902,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9605931464606638,0.0
355039.99999999994,1,33043.67290228233,1091884318.8730273,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9148542564154649,0.0
355051.0,1,3191.444011321524,10185314.87740002,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0090702212203786,0.0
355056.99999999994,1,60326.022605662176,3639229003.418864,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2046816494791062,0.0
355075.0,1,74764.97484910447,5589801464.187224,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8260632346366791,0.0
355079.0,1,62500.81154923851,3906351444.313426,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.2136208850023587,0.0
355134.0,1,15590.695619700593,243069789.90615126,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0459166634080892,0.0
355197.0,1,100703.35927956592,10141166570.189335,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7791110332996845,0.0
355216.99999999994,1,26746.522783521737,715376481.0094473,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9299762380747536,0.0
355259.0,1,16262.914190935844,264482377.98174247,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0479737521220105,0.0
355556.99999999994,1,19327.10603827826,373537027.814852,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9484451174990469,0.0
355575.0,1,20473.029635405517,419144942.45219254,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9455574075065492,0.0
355859.0,1,57028.173281230615,3252212547.7940655,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8618795230958001,0.0
355922.0,1,5110.200575839961,26114149.925315067,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.985845582284103,0.0
355961.0,1,3832.8632698914153,14690840.845682712,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0108848537509205,0.0
355963.0,1,16483.967612701876,271721188.2566044,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.048556658998297,0.0
356047.0,1,14537.494057695207,211338733.47752345,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.042568343793485,0.0
356099.0,1,30903.46896940813,955024394.3431712,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.095030423300931,0.0
356100.0,2,46271.043317578355,2652734284.7514806,0.0,1.0151534221531675,12.217701760928144,"{'PRB': -0.6896862618691062, 'Sig': nan}",0.9402691802744968,0.11662009848593541
356219.0,1,9609.676943319268,92345890.95496194,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9737317560131893,0.0
356329.0,1,12729.080544555502,162029491.5097814,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9655092755975607,0.0
356403.0,1,76298.98298481415,5821534804.516959,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8236685155485135,0.0
356470.0,1,20642.367967247847,426107355.29526,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.061467151592918,0.0
356514.0,1,54111.32883537258,2928035908.329824,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.178937998883993,0.0
356552.99999999994,1,31558.46354108653,995936621.0740877,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0971045971570548,0.0
356609.0,1,76738.89476322837,5888857969.481838,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.822916193454322,0.0
356623.0,1,65518.82999092789,4292717083.3801117,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8447942721233385,0.0
356858.99999999994,1,14278.753852828697,203882811.58967036,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0416800268357989,0.0
356879.0,1,18513.771127418557,342759721.358437,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0547153476410849,0.0
356906.0,1,11832.173956732091,140000340.54236916,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0342888189823138,0.0
356946.0,1,15597.640127832768,243286377.55737904,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0456941997133777,0.0
357022.0,1,46476.281084214104,2160044703.4188776,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8848166565683236,0.0
357052.99999999994,1,97557.87095730181,9517538185.721552,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7854035677768367,0.0
357073.0,1,23591.5793054378,556562614.1247611,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9380252837065033,0.0
357096.99999999994,1,29019.622015002242,842138461.8936027,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9248423394373456,0.0
357181.99999999994,1,34804.10200054041,1211325516.064021,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9112108775721532,0.0
357270.0,1,27947.711619742273,781074584.7802773,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.084864318650282,0.0
357273.99999999994,1,69585.00131240272,4842072407.647088,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8369836383947401,0.0
357344.0,1,14160.350524238718,200515526.96930775,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9618837558584261,0.0
357402.0,1,75666.94563753495,5725486662.11367,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.268574834639448,0.0
357426.0,1,7094.085116429953,50326043.63915298,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9805385617800345,0.0
357432.0,1,4786.3736788260285,22909372.99335861,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0135727578100369,0.0
357483.0,1,54698.57719362009,2991934347.006416,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8672949490706477,0.0
357863.0,1,74367.57867053262,5530536757.317858,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8279446611591559,0.0
357974.0,1,55269.71425852063,3054741314.2185187,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8662539505103167,0.0
357977.0,1,23827.713186938374,567759915.7189969,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0713085860939415,0.0
357994.0,1,23897.93440396001,571111268.7759755,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.93742225941153,0.0
358001.0,1,48302.87290314981,2333167530.697844,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1559675977247492,0.0
358007.0,1,56810.68530873052,3227453965.2476096,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.1886168008627938,0.0
