prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C
1941,0.66,1767,1.0,HIGH SPRINGS,280000,0,1998,100,440.0,0.0,26,238000.0,0.9412980370471603,-82.591768,29.836467,00236-027-000,HighSprings_B,True,False,0.74,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1951,1.99,1867,1.0,HIGH SPRINGS,419400,27065,2003,100,216.0,273.0,21,329425.0,2.8381562026118923,-82.587335,29.839017,00236-050-000,HighSprings_B,False,False,0.79,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1960,0.21,1593,1.0,HIGH SPRINGS,308600,1074,2013,100,170.0,484.0,11,261236.0,0.2995039208786419,-82.58749,29.830252,00236-100-008,HighSprings_B,True,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1965,0.21,1733,1.0,HIGH SPRINGS,322000,4102,2015,100,72.0,484.0,9,269597.99999999994,0.2995039208786419,-82.58751,29.831421,00236-100-013,HighSprings_B,True,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1966,0.21,1556,1.0,HIGH SPRINGS,317600,1164,2014,100,212.0,484.0,10,268796.0,0.2995039208786419,-82.587514,29.831654,00236-100-014,HighSprings_B,True,False,0.9,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1970,0.21,1441,1.0,HIGH SPRINGS,316800,671,2017,100,376.0,800.0,7,268609.0,0.2995039208786419,-82.58753,29.832589,00236-100-018,HighSprings_B,True,False,0.9299999999999999,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,0.23,1847,1.0,HIGH SPRINGS,329400,77,2016,100,239.0,462.0,8,279913.0,0.32802810381946496,-82.586954,29.830013,00236-100-074,HighSprings_B,True,False,0.92,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2030,0.25,1644,1.0,HIGH SPRINGS,320300,1216,2015,100,290.0,484.0,9,271039.0,0.356552286760288,-82.58698,29.831004,00236-100-078,HighSprings_B,True,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2033,0.2,1484,1.0,HIGH SPRINGS,321500,943,2009,100,397.5,444.0,15,272332.0,0.2852418294082304,-82.586658,29.830507,00236-100-081,HighSprings_B,True,False,0.85,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2043,0.2,1394,1.0,HIGH SPRINGS,276900,1535,2016,100,188.0,400.0,8,233829.99999999997,0.2852418294082304,-82.58615,29.830255,00236-100-091,HighSprings_B,True,False,0.92,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
