tax_area_description,Market_Cluster_ID,actual_year_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median
SUWANNEE,HighSprings_B,2005,4.0,4.0,0.9725656057297337,0.0634068669017644,0.8895134369869727,0.9468735388702219,0.9799372929896324,1.0056293598491441,1.040874399952697,0.9799372929896324
SUWANNEE,HighSprings_B,2006,3.0,1.0,1.0200067838295137,,1.0200067838295137,1.0200067838295137,1.0200067838295137,1.0200067838295137,1.0200067838295137,1.0200067838295137
SUWANNEE,HighSprings_B,2006,4.0,3.0,0.9039180245702244,0.09017073422280067,0.8317658219595423,0.8533749510207027,0.8749840800818631,0.9399941258755654,1.0050041716692677,0.8749840800818631
SUWANNEE,HighSprings_B,2006,5.0,1.0,0.8374317933478918,,0.8374317933478918,0.8374317933478918,0.8374317933478918,0.8374317933478918,0.8374317933478918,0.8374317933478918
SUWANNEE,HighSprings_B,2007,3.0,3.0,0.8214498055202576,0.1000890503572647,0.7162840206825546,0.7744042255296935,0.8325244303768324,0.8740326979391091,0.9155409655013856,0.8325244303768324
SUWANNEE,HighSprings_B,2007,4.0,2.0,1.0163699174976824,0.08608669025035616,0.9554974350517496,0.985933676274716,1.0163699174976824,1.0468061587206485,1.077242399943615,1.0163699174976824
SUWANNEE,HighSprings_B,2008,4.0,5.0,0.9699025477639255,0.12762234278150233,0.8310115424657022,0.8996892135600887,0.9267642748668504,1.035794510982378,1.1562531969446084,0.9267642748668504
SUWANNEE,HighSprings_B,2009,4.0,1.0,0.930686475008635,,0.930686475008635,0.930686475008635,0.930686475008635,0.930686475008635,0.930686475008635,0.930686475008635
SUWANNEE,HighSprings_B,2011,3.0,2.0,0.876658613357812,0.08968087832582791,0.8132446561508534,0.8449516347543327,0.876658613357812,0.9083655919612913,0.9400725705647706,0.876658613357812
SUWANNEE,HighSprings_B,2011,4.0,1.0,0.7533655374100893,,0.7533655374100893,0.7533655374100893,0.7533655374100893,0.7533655374100893,0.7533655374100893,0.7533655374100893
