tax_area_description,Market_Cluster_ID,era_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median,PRD,COD,PRB
ALACHUA,Buck_Bay,1960s,6.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1970s,1.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1970s,2.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1970s,3.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1970s,4.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1970s,5.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1970s,6.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1980s,1.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1980s,2.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1980s,3.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1980s,4.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1980s,5.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1980s,6.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1990s,1.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1990s,2.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1990s,3.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1990s,4.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1990s,5.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1990s,6.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2000s,1.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2000s,2.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2000s,3.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2000s,4.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2000s,5.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2000s,6.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2010s,1.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2010s,2.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2010s,3.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2010s,4.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,2010s,5.0,,,,,,,,,,,,
