actual_year_built,count,mean,std,min,25%,50%,75%,max,median
1987,79.0,0.854207789219171,0.08921365349122441,0.6388826746612104,0.7874970967663724,0.8475765367136506,0.9121786670505081,1.071269129722443,0.8475765367136506
1988,86.0,0.8541601921718508,0.08441271219391137,0.6794602158519765,0.8101772061034445,0.8386588624841425,0.902033555158767,1.082471132468171,0.8386588624841425
1989,70.0,0.8483669942273323,0.0904348353433851,0.6339813525163813,0.788682832995374,0.839780605534938,0.9079951751414476,1.0728978401728242,0.839780605534938
1990,92.0,0.8290615705783395,0.08330742044367073,0.6395432755480085,0.7778472731838547,0.8260012827589808,0.8825569682786306,1.0677547718296352,0.8260012827589808
1991,98.0,0.8291384444527976,0.08238444236785648,0.5872611240888005,0.7737685277920485,0.8382126863245642,0.8714421645885679,1.0615099440101514,0.8382126863245642
1992,94.0,0.8499498129219047,0.09233007583100429,0.6264771737682526,0.7925908815938949,0.8465784415210809,0.8880387792957698,1.186740977022598,0.8465784415210809
1993,102.0,0.8303969966780788,0.08995879553343317,0.6530555455936623,0.7765205563439596,0.8337116026969682,0.8765258826066747,1.0501729135964335,0.8337116026969682
1994,103.0,0.843273744055003,0.08778440084901154,0.6270966053898993,0.7782815529916491,0.8453991760186653,0.8983253908871215,1.0385953255929632,0.8453991760186653
1995,101.0,0.8325036427962275,0.0884806854517664,0.5887220669377197,0.7757601388445221,0.8406743962739457,0.8762273702755795,1.085871132154827,0.8406743962739457
1996,115.0,0.8437616273914196,0.08570537992698342,0.5568700178341981,0.7927560765811629,0.8479939828880737,0.8984307296644805,1.173265456195551,0.8479939828880737
1997,147.0,0.8463139028167023,0.07315890884280464,0.5770318395416086,0.8037284792877426,0.8394202507457672,0.8861357358958997,1.0356811195781872,0.8394202507457672
1998,127.0,0.8518796970766938,0.0814976771372373,0.590157403975326,0.800918686611003,0.8536515568926031,0.8911134991185601,1.1025495926738,0.8536515568926031
1999,134.0,0.8581243355295831,0.09020563515513368,0.5965360128496019,0.8013814501760452,0.8600555664874858,0.9097685886197135,1.2513346348637349,0.8600555664874858
2000,158.0,0.8519522769493727,0.07863543447573057,0.6718908617090229,0.7904005296763948,0.8417970341635217,0.9020606718170407,1.0764569735706528,0.8417970341635217
2001,129.0,0.8425998469042746,0.08188717121435576,0.572763548950926,0.7837067848274627,0.8402599498574903,0.8970223365697823,1.1317994245228806,0.8402599498574903
2002,136.0,0.8573172702440764,0.09389533552744019,0.6259511449633899,0.7932529866423246,0.8577313227521177,0.915406872233227,1.1615531118111908,0.8577313227521177
2003,153.0,0.8550829124353098,0.07905535803967396,0.6953664109932234,0.8001500551737539,0.844549725799885,0.9003119481164747,1.1311437070835868,0.844549725799885
